source_id,metric,metric_label,latest_time_s,latest_value_w
viscosity_screening_salt_test_2_kirst_coarse_mesh,section_upcomer_net_q_w,Upcomer net wall heat,586.560241,-19.80404464489
viscosity_screening_salt_test_2_kirst_coarse_mesh,section_test_section_net_q_w,Test-section net wall heat,586.560241,-5.039731247
viscosity_screening_salt_test_2_kirst_coarse_mesh,section_cooling_branch_net_q_w,Cooling branch net wall heat,586.560241,-136.35073988
viscosity_screening_salt_test_2_kirst_coarse_mesh,section_upper_transport_net_q_w,Upper transport net wall heat,586.560241,-12.248754186100001
viscosity_screening_salt_test_2_kirst_coarse_mesh,section_lower_transport_net_q_w,Lower transport net wall heat,586.560241,-6.6119376016
viscosity_screening_salt_test_2_kirst_coarse_mesh,section_junctions_net_q_w,Junction-region net wall heat,586.560241,-41.530452608400005
viscosity_screening_salt_test_2_kirst_coarse_mesh,section_other_net_q_w,Other net wall heat,586.560241,0.0
viscosity_screening_salt_test_3_jin_coarse_mesh,ambient_proxy_w,Derived ambient-loss proxy,2515.0,211.76299764877
viscosity_screening_salt_test_3_jin_coarse_mesh,ambient_noncooling_proxy_w,Ambient-loss proxy excluding cooling branch excess,2515.0,121.54335894876999
viscosity_screening_salt_test_3_jin_coarse_mesh,cooling_branch_total_removal_w,Cooling branch total heat removal,2515.0,150.76963870000003
viscosity_screening_salt_test_3_jin_coarse_mesh,cooling_branch_excess_w,Cooling branch excess over operating cooling duty,2515.0,90.21963870000003
viscosity_screening_salt_test_3_jin_coarse_mesh,net_total_q_w,Net total wall heat,2515.0,0.9724962812299758
viscosity_screening_salt_test_3_jin_coarse_mesh,section_downcomer_net_q_w,Downcomer net wall heat,2515.0,-25.193505609
viscosity_screening_salt_test_3_jin_coarse_mesh,section_heater_net_q_w,Heater net wall heat,2515.0,273.28549393000003
viscosity_screening_salt_test_3_jin_coarse_mesh,section_upcomer_net_q_w,Upcomer net wall heat,2515.0,-21.94500801107
viscosity_screening_salt_test_3_jin_coarse_mesh,section_test_section_net_q_w,Test-section net wall heat,2515.0,-10.24342229
viscosity_screening_salt_test_3_jin_coarse_mesh,section_cooling_branch_net_q_w,Cooling branch net wall heat,2515.0,-150.76963870000003
viscosity_screening_salt_test_3_jin_coarse_mesh,section_upper_transport_net_q_w,Upper transport net wall heat,2515.0,-13.4887361561
viscosity_screening_salt_test_3_jin_coarse_mesh,section_lower_transport_net_q_w,Lower transport net wall heat,2515.0,-7.2843608153999995
viscosity_screening_salt_test_3_jin_coarse_mesh,section_junctions_net_q_w,Junction-region net wall heat,2515.0,-43.3883260672
viscosity_screening_salt_test_3_jin_coarse_mesh,section_other_net_q_w,Other net wall heat,2515.0,0.0
viscosity_screening_salt_test_3_kirst_coarse_mesh,ambient_proxy_w,Derived ambient-loss proxy,3298.0,211.73729728346
viscosity_screening_salt_test_3_kirst_coarse_mesh,ambient_noncooling_proxy_w,Ambient-loss proxy excluding cooling branch excess,3298.0,121.51765852346001
viscosity_screening_salt_test_3_kirst_coarse_mesh,cooling_branch_total_removal_w,Cooling branch total heat removal,3298.0,150.76963876
viscosity_screening_salt_test_3_kirst_coarse_mesh,cooling_branch_excess_w,Cooling branch excess over operating cooling duty,3298.0,90.21963876
