source_id,case_label,branch_name,mean_q_enthalpy_w,mean_q_wall_total_w,mean_q_intended_transfer_w,mean_q_external_or_loss_w,mean_q_sink_or_cooling_w,mean_q_junction_or_unresolved_w,mean_q_residual_w,fit_use_status
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,lower_leg,-144.554994490559,185.4245372052868,213.0918796686748,-5.740452810213874,0.0,-21.92688965317413,-329.9795316958458,excluded
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,right_leg,-173.6721629353669,-19.82126267604558,nan,-19.82126267604558,nan,0.0,-153.85090025932132,excluded
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,test_section_span,3.9542602616756977,-1.0286955182827096,0.8062127770226284,-1.8349082953053382,-0.25699645881828304,-1.1102230246251565e-16,4.982955779958407,sensitivity_only
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,upcomer,-1.6656981352891203,-16.375361359052345,0.8062127770226284,-17.18157413607498,-0.25699645881828304,0.0,14.709663223763226,sensitivity_only
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,upper_leg,144.75642083880552,-146.24864434535132,-135.60317791625533,-10.645466429096151,-135.60317791625533,0.0,291.0050651841569,excluded
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,left_lower_leg,-5.1428659576098426,-8.249646691287523,nan,-8.249646691287523,nan,0.0,3.1067807336776823,sensitivity_only
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,left_upper_leg,-3.872537953882301,-9.623840189768206,nan,-9.623840189768206,nan,0.0,5.751302235885905,sensitivity_only
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,lower_leg,-149.1207893424211,211.9653149470898,243.5964851999575,-6.643111952018496,0.0,-24.988058300849204,-361.0861042895109,excluded
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,right_leg,-189.91651384948528,-23.02249497559038,nan,-23.02249497559038,nan,0.0,-166.89401887389488,excluded
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,test_section_span,8.538873237298775,-7.627013002320534,-5.499311734120058,-2.1277012682004806,-5.499311734120058,0.0,16.165886239619308,sensitivity_only
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,upcomer,-0.4765306741933688,-25.500499883376264,-5.499311734120058,-20.001188149256212,-5.499311734120058,0.0,25.023969209182894,sensitivity_only
