bin_index,s_start_m,s_end_m,s_mid_m,bin_width_m
75,1.8742072102718177,1.8991966397421087,1.8867019250069632,0.024989429470291036
76,1.8991966397421087,1.9241860692123995,1.911691354477254,0.024989429470290814
77,1.9241860692123995,1.9491754986826906,1.936680783947545,0.024989429470291036
78,1.9491754986826906,1.9741649281529814,1.961670213417836,0.024989429470290814
79,1.9741649281529814,1.9991543576232722,1.9866596428881267,0.024989429470290814
80,1.9991543576232722,2.0241437870935632,2.0116490723584177,0.024989429470291036
81,2.0241437870935632,2.0491332165638543,2.0366385018287088,0.024989429470291036
82,2.0491332165638543,2.074122646034145,2.0616279312989993,0.02498942947029059
83,2.074122646034145,2.099112075504436,2.0866173607692904,0.024989429470291036
84,2.099112075504436,2.124101504974727,2.1116067902395814,0.024989429470291036
85,2.124101504974727,2.1490909344450175,2.1365962197098725,0.02498942947029059
86,2.1490909344450175,2.1740803639153086,2.161585649180163,0.024989429470291036
87,2.1740803639153086,2.1990697933855996,2.186575078650454,0.024989429470291036
88,2.1990697933855996,2.2240592228558906,2.211564508120745,0.024989429470291036
89,2.2240592228558906,2.2490486523261812,2.2365539375910357,0.02498942947029059
90,2.2490486523261812,2.2740380817964723,2.2615433670613267,0.024989429470291036
91,2.2740380817964723,2.2990275112667633,2.286532796531618,0.024989429470291036
92,2.2990275112667633,2.324016940737054,2.311522226001909,0.02498942947029059
93,2.324016940737054,2.349006370207345,2.3365116554721994,0.024989429470291036
94,2.349006370207345,2.373995799677636,2.3615010849424904,0.024989429470291036
95,2.373995799677636,2.398985229147927,2.3864905144127815,0.024989429470291036
96,2.398985229147927,2.4239746586182176,2.411479943883072,0.02498942947029059
97,2.4239746586182176,2.4489640880885086,2.436469373353363,0.024989429470291036
98,2.4489640880885086,2.4739535175587997,2.461458802823654,0.024989429470291036
99,2.4739535175587997,2.4989429470290903,2.486448232293945,0.02498942947029059
100,2.4989429470290903,2.5239323764993813,2.5114376617642358,0.024989429470291036
101,2.5239323764993813,2.5489218059696723,2.536427091234527,0.024989429470291036
102,2.5489218059696723,2.573911235439963,2.5614165207048174,0.02498942947029059
103,2.573911235439963,2.598900664910254,2.5864059501751084,0.024989429470291036
104,2.598900664910254,2.623890094380545,2.6113953796453995,0.024989429470291036
105,2.623890094380545,2.648879523850836,2.6363848091156905,0.024989429470291036
106,2.648879523850836,2.6738689533211266,2.6613742385859815,0.02498942947029059
107,2.6738689533211266,2.6988583827914177,2.686363668056272,0.024989429470291036
108,2.6988583827914177,2.7238478122617087,2.711353097526563,0.024989429470291036
109,2.7238478122617087,2.7488372417319993,2.7363425269968538,0.02498942947029059
110,2.7488372417319993,2.7738266712022903,2.761331956467145,0.024989429470291036
111,2.7738266712022903,2.7988161006725814,2.786321385937436,0.024989429470291036
112,2.7988161006725814,2.823805530142872,2.811310815407727,0.02498942947029059
113,2.823805530142872,2.848794959613163,2.8363002448780175,0.024989429470291036
114,2.848794959613163,2.873784389083454,2.8612896743483085,0.024989429470291036
115,2.873784389083454,2.898773818553745,2.8862791038185995,0.024989429470291036
116,2.898773818553745,2.9237632480240356,2.91126853328889,0.02498942947029059
117,2.9237632480240356,2.9487526774943267,2.936257962759181,0.024989429470291036
118,2.9487526774943267,2.9737421069646177,2.961247392229472,0.024989429470291036
119,2.9737421069646177,2.9987315364349083,2.9862368216997632,0.02498942947029059
120,2.9987315364349083,3.0237209659051993,3.011226251170054,0.024989429470291036
121,3.0237209659051993,3.0487103953754904,3.036215680640345,0.024989429470291036
122,3.0487103953754904,3.073699824845781,3.0612051101106355,0.02498942947029059
123,3.073699824845781,3.098689254316072,3.0861945395809265,0.024989429470291036
124,3.098689254316072,3.123678683786363,3.1111839690512175,0.024989429470291036
125,3.123678683786363,3.148668113256654,3.1361733985215086,0.024989429470291036
126,3.148668113256654,3.1736575427269447,3.1611628279917996,0.02498942947029059
127,3.1736575427269447,3.1986469721972357,3.18615225746209,0.024989429470291036
128,3.1986469721972357,3.2236364016675267,3.2111416869323812,0.024989429470291036
129,3.2236364016675267,3.2486258311378173,3.236131116402672,0.02498942947029059
130,3.2486258311378173,3.2736152606081084,3.261120545872963,0.024989429470291036
131,3.2736152606081084,3.2986046900783994,3.286109975343254,0.024989429470291036
132,3.2986046900783994,3.3235941195486904,3.311099404813545,0.024989429470291036
133,3.3235941195486904,3.348583549018981,3.336088834283836,0.02498942947029059
134,3.348583549018981,3.373572978489272,3.3610782637541265,0.024989429470291036
135,3.373572978489272,3.398562407959563,3.3860676932244176,0.024989429470291036
136,3.398562407959563,3.4235518374298537,3.411057122694708,0.02498942947029059
137,3.4235518374298537,3.4485412669001447,3.436046552164999,0.024989429470291036
138,3.4485412669001447,3.4735306963704358,3.4610359816352902,0.024989429470291036
139,3.4735306963704358,3.4985201258407264,3.4860254111055813,0.02498942947029059
140,3.4985201258407264,3.5235095553110174,3.511014840575872,0.024989429470291036
141,3.5235095553110174,3.5484989847813084,3.536004270046163,0.024989429470291036
142,3.5484989847813084,3.5734884142515995,3.560993699516454,0.024989429470291036
143,3.5734884142515995,3.59847784372189,3.5859831289867445,0.02498942947029059
144,3.59847784372189,3.623467273192181,3.6109725584570356,0.024989429470291036
145,3.623467273192181,3.648456702662472,3.6359619879273266,0.024989429470291036
146,3.648456702662472,3.6734461321327627,3.6609514173976176,0.02498942947029059
147,3.6734461321327627,3.6984355616030538,3.6859408468679082,0.024989429470291036
148,3.6984355616030538,3.723424991073345,3.7109302763381993,0.024989429470291036
149,3.723424991073345,3.7484144205436354,3.73591970580849,0.02498942947029059
