source_id,case_label,asset_family,scope_name,fit_status,fit_reason
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,feature_keff,corner_upper_left,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,feature_keff,corner_lower_left,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,feature_keff,corner_lower_right,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,feature_keff,corner_upper_left,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,feature_keff,corner_lower_left,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,feature_keff,corner_lower_right,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,feature_keff,corner_upper_left,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,feature_keff,corner_lower_left,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,feature_keff,corner_lower_right,screening_only,nonpositive_residual_feature_loss
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,feature_keff,corner_upper_left,screening_only,nonpositive_residual_feature_loss
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,enthalpy_balance,left_lower_leg,do_not_fit,enthalpy_wall_heat_balance_loose
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,enthalpy_balance,left_upper_leg,do_not_fit,enthalpy_wall_heat_balance_loose
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,enthalpy_balance,lower_leg,do_not_fit,enthalpy_wall_heat_balance_loose
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,enthalpy_balance,right_leg,do_not_fit,enthalpy_wall_heat_balance_loose
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,enthalpy_balance,test_section_span,do_not_fit,enthalpy_wall_heat_balance_loose
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,enthalpy_balance,upper_leg,do_not_fit,enthalpy_wall_heat_balance_loose
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,enthalpy_balance,left_lower_leg,do_not_fit,enthalpy_wall_heat_balance_loose
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,enthalpy_balance,left_upper_leg,do_not_fit,enthalpy_wall_heat_balance_loose
