case_slug,fluid,group,series,unit,n_window,t_start,t_end,verdict,rel_drift_over_window,drift_ratio,near_zero_mean,trend_resolved,osc_mean,osc_rmse_about_mean,osc_rmse_about_trend,osc_var_about_mean,osc_peak_to_peak,osc_cov,fit_slope,fit_r2,fit_slope_se,fit_t_stat,unc_tau_int,unc_n_eff,unc_sem_naive,unc_sem_corrected,unc_rel_sem_corrected
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__salt4_jin_optins__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,temperature,probe 1 (0.887519 -0.245426 0),K,301,5476.0,5776.0,steady,0.0001614215222580926,0.23949074621009928,False,False,474.98162490033206,0.32091632639468715,0.3201470543198829,0.10298728854666138,2.317252999999994,0.000675639455446359,-0.0002555741897867798,0.004788475975264661,0.0002130788971224052,-1.1994345439096334,3.4838635933886697,86.39833102857641,0.018497309541874233,0.03452543311905342,7.268793424650496e-05
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__salt4_jin_optins__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,temperature,probe 2 (-0 0 0),K,301,5476.0,5776.0,steady,1.4311095695659327e-05,0.13149642954492857,False,False,474.2508628405316,0.05165136570666097,0.05161394499719791,0.0026678635793632327,0.253832999999986,0.0001089114849413124,2.262349827286618e-05,0.001448447821452592,3.435247124014031e-05,0.6585697464009804,18.35599264660234,16.397914609957887,0.0029771352254656515,0.012755206642574752,2.689548431430842e-05
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__salt4_jin_optins__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,temperature,probe 3 (-0 0.323501 0),K,301,5476.0,5776.0,steady,3.631720788394352e-05,1.068156570204938,False,False,478.96225007641175,0.017046191947892593,0.016284664710950605,0.0002905726599243983,0.06573000000003049,3.558984438788884e-05,5.798190534862129e-05,0.08735286789515007,1.0838514207131988e-05,5.3496175066567595,13.659056061986101,22.036661877221473,0.0009825261697112377,0.0036312359591909645,7.581465885070591e-06
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__salt4_jin_optins__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,temperature,probe 4 (-0 0.574779 0),K,301,5476.0,5776.0,steady,3.3647581912965864e-05,1.36866974078304,False,False,479.2864158372095,0.012674892568041943,0.011782849036633108,0.00016065290161140487,0.0483780000000138,2.644534071741143e-05,5.375609645551442e-05,0.13580439551656553,7.842260123302501e-06,6.854668885030157,14.184112227129123,21.220926285699775,0.0007305686621649999,0.002751453126237249,5.740728373098279e-06
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__salt4_jin_optins__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,temperature,probe 5 (-0 0.949515 0),K,301,5476.0,5776.0,steady,2.518867808141538e-05,0.22859507370175702,False,False,480.7094780797339,0.05308490156826078,0.05296892928599691,0.0028180067745119364,0.3314579999999978,0.00011043032015993606,-4.036145431345207e-05,0.004364540539163686,3.525430230177175e-05,-1.1448660639477086,4.945023522445015,60.86927567357125,0.0030597628588718033,0.00680411976686895,1.4154328294189302e-05
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__salt4_jin_optins__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,wall_temperature,wall T (spatial mean),K,301,5476.0,5776.0,steady,4.0550423342373455e-05,1.3680090882576803,False,False,476.8332354844462,0.015203320037896205,0.014134255195069162,0.00023114094017469625,0.08184150000016643,3.188393531849799e-05,6.445263187535981e-05,0.13569110790867223,9.407275400393774e-06,6.851360158187983,5.643376211770549,53.336865859163495,0.0008763047987134159,0.002081731392980085,4.365743069199271e-06
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__salt4_jin_optins__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,heat,total_Q,W,301,5476.0,5776.0,not steady (drifting),0.07332308767369229,0.3066971303109774,False,False,0.18782936710963466,0.045081803257527094,0.04490498211805712,0.0020323689849503805,0.24145309999999998,0.24001466837298752,-4.590743050757959e-05,0.007829073384397867,2.988721569012636e-05,-1.5360223241787532,5.64760739221728,53.29690594547966,0.0025984719410466184,0.006175189373431166,0.03287659149608246
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_balq__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,mdot,lower (heater),kg/s,301,2132.0,2432.0,steady,0.0004989966968110821,4.620729502481253,False,True,-0.013160447718637855,2.374364096116953e-06,1.4212084772823974e-06,5.637604860929276e-12,1.0315299999999125e-05,0.0001804166656696925,-2.1890066467184103e-08,0.641721336325368,9.45907609750382e-10,-23.14186527472882,4.869654854505924,61.81136219982463,1.3685607131427888e-07,3.0200432263968996e-07,2.294787602187658e-05
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_balq__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,temperature,probe 0 (0.887519 0.70409 0),K,301,2132.0,2432.0,steady,0.0001780876070962408,4.422194189319168,False,True,450.325657996678,0.029469098866044683,0.018135209674954487,0.000868427787976716,0.14591899999999214,6.543952880042663e-05,0.00026732472948889495,0.6212859209390236,1.2070173454608247e-05,22.147546635863264,2.4375946105804482,123.48238656809504,0.0016985706204766893,0.002651943996824499,5.888947142434558e-06
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_balq__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,temperature,probe 1 (0.887519 -0.245426 0),K,301,2132.0,2432.0,steady,0.00020544667253925784,2.6490947519940002,False,False,444.8900081063123,0.0434886792110723,0.03450279448955411,0.001891265219523552,0.22629200000000083,9.775153053264373e-05,0.00030467057270468434,0.37055743673629127,2.296387643826152e-05,13.267384255606515,1.948705391279896,154.46152165787632,0.0025066457975875442,0.0034991782279817835,7.865265940397586e-06
