branch_name,branch_type,component_spans,component_span_count,branch_total_length_m,time_sample_count,total_row_count,usable_row_count,masked_row_count,warning_fraction,thermal_warning_fraction,mean_mdot_mean_abs_kg_s,mean_bulk_positive_mass_flux_kg_s,mean_t_wall_area_avg_k,mean_bulk_temp_fluid_area_avg_k,mean_bulk_temp_area_weighted_k,mean_bulk_minus_wall_temp_k,mean_abs_bulk_minus_wall_temp_k,min_abs_bulk_minus_wall_temp_k,mean_wall_heat_per_length_w_m,mean_wall_heatflux_area_avg_w_m2,mean_effective_htc_w_m2_k,mean_effective_ua_per_m_w_m_k,mean_effective_thermal_resistance_k_m_w,mean_effective_htc_tp_endpoint_proxy_w_m2_k,mean_effective_ua_per_m_tp_endpoint_proxy_w_m_k,mean_effective_thermal_resistance_tp_endpoint_proxy_k_m_w,min_bulk_positive_mass_flux_kg_s,mean_area_ratio_to_reference,max_area_ratio_to_reference,thermal_status_breakdown_json,mean_branch_total_wall_heat_w,mean_branch_total_abs_wall_heat_w,source_id,case_label,usable_fraction,case_order,fit_status,fit_reason
left_upper_leg,span_section,left_upper_leg,1,0.37473599999999996,4,156,148,8,1.0,0.05128205128205128,0.010932096583333327,0.01136101120540822,432.3239925510492,436.7337616138232,433.4207584280222,4.409769062773956,4.416680621805071,3.715611226349097,-23.031220156974012,-333.5032894583518,75.90436536784983,5.233597160866356,0.1922300813646166,437.18477086211294,30.310247520917223,0.039985679309132834,0.011018437152263591,1.000000003625496,1.0000000037008272,"{""missing_wall_faces"": 8, ""usable"": 148}",-8.2899446595039,8.2899446595039,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,0.9487179487179487,2,candidate,thermal_support_clean
lower_leg,span_section,lower_leg,1,0.9004136306150922,4,368,272,96,0.8369565217391305,0.2608695652173913,0.010932096642500016,0.010798385065924171,441.2020054980074,429.17738283647134,428.98721589725716,-12.02462266153644,13.604679828987098,0.05112796375402695,230.28463786894682,3319.7046247941125,191.13445138058654,13.237418554505753,0.10861117251700184,210.21002056551802,14.535256103710974,0.11747428998271861,0.00321192994230039,1.4258824256107032,2.9195266054678455,"{""area_ratio_out_of_range"": 92, ""small_delta_t"": 4, ""usable"": 272}",207.35142685846088,218.24807466208458,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,0.7391304347826086,2,do_not_fit,thermal_low_usable_fraction
right_leg,span_section,right_leg,1,0.9144000000000001,4,372,272,100,1.0,0.26881720430107525,0.010932096537499995,0.011308922621616226,425.340977818486,437.0347656035606,433.37247873141035,11.693787785074326,10.783279538302068,2.1697321115274804,-21.676796452368226,-312.4648974442202,27.017181169282743,1.873523569384321,0.5392123250512828,1084.5723514032281,71.35104071343142,0.10337878037500772,0.004296438976015799,1.4820533501328375,6.207896086691372,"{""area_ratio_out_of_range"": 100, ""usable"": 272}",-19.821262676045585,19.821262676045585,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,0.7311827956989247,2,do_not_fit,thermal_low_usable_fraction
test_section_span,span_section,test_section_span,1,0.25127800000000006,4,108,108,0,1.0,0.0,0.010932096555000005,0.011139771281333796,433.77627143222617,437.0771414907831,433.96372422077036,3.3008700585568347,3.3452520672803865,2.7801786297592344,-4.093854290000351,-66.19979417962372,42.577942786046954,2.7465045386664886,0.5367389909638575,891.9160043882256,56.71979723515088,0.436760120300293,0.010954466838540074,1.0080518102155136,1.1086994291205967,"{""usable"": 108}",-1.0286955182827084,2.616304582525215,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,1.0,2,candidate,thermal_support_clean
upcomer,derived_branch,"left_lower_leg, test_section_span, left_upper_leg",3,0.949515,4,400,384,16,1.0,0.04,0.010932096575704995,0.011301639777799175,432.421104967772,436.9521584120407,433.4267147059501,4.531053444269084,4.522953418301932,2.7801786297592344,-17.798953743090294,-259.7007581870572,61.69108109283128,4.210393516043363,0.3051957881291106,440.9315152312563,29.198246656691378,0.20330413621345697,0.010954466838540074,1.002264574166948,1.1086994291205967,"{""missing_wall_faces"": 16, ""usable"": 384}",-16.375361359052356,17.962970423294866,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,0.96,2,candidate,thermal_support_clean
upper_leg,span_section,upper_leg,1,0.9238969228247695,4,376,360,16,0.8723404255319149,0.0425531914893617,0.010932096569999999,0.010873671959008535,424.1834968076161,431.6872442180792,431.22780809664766,7.503747410463443,7.503603510548484,0.3432504670910248,-163.57192607029114,-2353.3303466339376,277.1049252774628,19.198040492650104,0.06894699367566746,279.6354278270692,19.541209928274338,0.13308817559946842,0.010870944754796925,1.0104220853162138,1.0217621659261193,"{""missing_wall_faces"": 16, ""usable"": 360}",-146.24864434535166,146.24864434535166,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,0.9574468085106383,2,screening_only,thermal_support_marginal
left_lower_leg,span_section,left_lower_leg,1,0.323501,4,136,128,8,1.0,0.058823529411764705,0.013162731832169896,0.01379638730759562,450.7661031161846,454.8585928471504,451.8048414962984,4.092489730965765,4.084655641524719,2.882380628424869,-26.71548777258882,-387.11062648831404,101.91556349013581,7.07526827575043,0.15708605314730892,77.62679498427796,5.374511598240414,0.20388106535199388,0.013406383975022524,1.0000000034395247,1.0000000037008279,"{""missing_wall_faces"": 8, ""usable"": 128}",-8.249646691287523,8.249646691287523,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,0.9411764705882353,3,candidate,thermal_support_clean
left_upper_leg,span_section,left_upper_leg,1,0.37473599999999996,4,156,148,8,1.0,0.05128205128205128,0.013162731833566652,0.013647372260254115,450.8362349426758,454.17008255487303,451.8120335322714,3.333847612197173,3.34376393188418,2.540076459599959,-26.737064150600784,-387.1670976524619,117.17791527107151,8.069558701122805,0.12502490726836277,3063.92463894808,213.82247782535734,0.009857079204747416,0.013201823280754001,1.000000003625496,1.0000000037008272,"{""missing_wall_faces"": 8, ""usable"": 148}",-9.623840189768206,9.623840189768206,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,0.9487179487179487,3,candidate,thermal_support_clean
lower_leg,span_section,lower_leg,1,0.9004136306150922,4,368,276,92,0.8586956521739131,0.25,0.013162662028633206,0.01300880993898576,459.5591842247621,447.638094660291,447.24937900990864,-11.921089564470648,13.774597579224494,0.5802093440225349,263.1605799726402,3793.6266112690037,223.52233582763424,15.534016085838863,0.09878235338869422,231.3584366883954,16.018611550051567,0.11143704069342782,0.0030895296504586753,1.4258824256107032,2.9195266054678455,"{""area_ratio_out_of_range"": 92, ""usable"": 276}",236.953373247939,249.56694335719482,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,0.75,3,screening_only,thermal_support_marginal
right_leg,span_section,right_leg,1,0.9144000000000001,4,372,272,100,1.0,0.26881720430107525,0.013162758561186802,0.013736102521762062,443.0045392926732,454.6476663298361,451.84941707213454,11.643127037162564,10.809797254438347,2.75001133647595,-25.177706666218647,-362.92956031583344,31.75967753696583,2.2025218167744445,0.46275575771181077,1177.5556268165833,82.44685974741587,0.05889572804124935,0.005238158701040333,1.4820533501328375,6.207896086691372,"{""area_ratio_out_of_range"": 100, ""usable"": 272}",-23.022494975590384,23.022494975590384,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,0.7311827956989247,3,do_not_fit,thermal_low_usable_fraction
test_section_span,span_section,test_section_span,1,0.25127800000000006,4,108,108,0,1.0,0.0,0.01316270063415116,0.013600462140022081,451.1571562760014,454.5839300545905,452.07491326431824,3.4267737785888923,3.4270523229414285,2.8361924532516696,-30.35288804559307,-465.2258024976694,136.2070154496454,8.881949203680314,0.11376823457537394,348.3054133318785,22.440862352058254,0.053862946106126464,0.013505232762573465,1.0080518102155136,1.1086994291205967,"{""usable"": 108}",-7.627013002320542,7.627013002320542,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,1.0,3,candidate,thermal_support_clean
upcomer,derived_branch,"left_lower_leg, test_section_span, left_upper_leg",3,0.949515,4,400,384,16,1.0,0.04,0.013162723363187424,0.01368506288854822,450.89962542107014,454.51541934068575,451.8809654555984,3.6157939196157804,3.6141526950825438,2.540076459599959,-27.71738637688055,-408.467760154536,117.17919767643782,7.953642856115821,0.13281824710126158,1316.1562384400183,91.32958220571564,0.0874599584685311,0.013201823280754001,1.002264574166948,1.1086994291205967,"{""missing_wall_faces"": 16, ""usable"": 384}",-25.50049988337627,25.50049988337627,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,0.96,3,candidate,thermal_support_clean
upper_leg,span_section,upper_leg,1,0.9238969228247695,4,376,360,16,0.9042553191489362,0.0425531914893617,0.013162774905993135,0.013092681335987113,442.18153762065367,449.66480249087573,449.0502787237467,7.483264870222394,7.48334586825382,0.2830022217021906,-166.2792032185522,-2392.194086998773,303.95718253706394,21.02366932950054,0.06548950082009374,338.4124613321675,23.667520469297717,0.1127571685472534,0.013087327731603874,1.0104220853162138,1.0217621659261193,"{""missing_wall_faces"": 16, ""usable"": 360}",-148.66920404842813,148.66920404842813,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,0.9574468085106383,3,screening_only,thermal_support_marginal
