source_id,case_label,span_name,span_kind,fit_status,fit_reason,net_section_role,section_length_m,hydraulic_diameter_m,rho_bulk_kg_m3,bulk_velocity_m_s,mdot_mean_abs_kg_s,dynamic_head_local_pa,pressure_loss_hydro_pa,apparent_darcy_f_local,apparent_darcy_f_loop_ref,direct_prgh_darcy,shear_darcy_core,direct_to_shear_darcy_ratio,pressure_loss_to_driving_head_ratio,max_branch_temp_delta_k,ambient_proxy_fraction_of_heater,enthalpy_residual_fraction_of_wall_heat,boundary_delta99_u_over_dh,boundary_delta99_t_over_dh,boundary_delta99_t_over_delta99_u,branch_fit_status
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,left_upper_leg,main_loop_leg,screening_only,buoyancy_aided_or_net_gain_section,buoyancy_aided_or_net_gain,0.3599437894736842,0.021982731251817298,1945.8073741569247,0.02064362714204846,0.014926408693333332,0.4146119976311342,-148.49531706483435,-43.74695872301236,-45.600755346292274,1.6240932749713948,0.8056543152300069,2.0158686477186323,-0.00649530299526954,7.52988776615075,0.7117474670968303,0.5336908052426123,0.33874793044902046,8.868940965345827e-09,2.052195961230519e-08,candidate
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,lower_leg,main_loop_leg,candidate,dissipative_with_agreeing_friction_proxies,dissipative,0.9004136306150922,0.022041740782055636,1948.0820276814259,0.02019850167099021,0.014926323497499993,0.3973887390904039,17.71820844238141,2.182920658319686,2.180900986782885,0.41606423218649213,0.7724289844757447,0.5386439925851295,0.000775008496169363,7.52988776615075,0.7117474670968303,1.6193393428322571,11.712811034965142,1.8233906243222682,0.3940760385428119,screening_only
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,right_leg,main_loop_leg,screening_only,support_fraction_below_floor,dissipative,0.9144000000000002,0.022082226572606178,1950.9264081302124,0.020111767619011886,0.014926362017499993,0.3945584780101141,103.05071147210765,12.614679888299197,12.513245102209146,0.7391950518002212,1.064890145020419,0.6941514627182951,0.004507519887628482,7.52988776615075,0.7117474670968303,7.378919314048618,18.310425895923824,11.903059131589897,0.7855509639410784,do_not_fit
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,test_section_span,test_section_leg,candidate,dissipative_with_agreeing_friction_proxies,dissipative,0.2512780000000001,0.020787565883064133,1946.5841748747994,0.02310534496780569,0.01492640893,0.5195987644741329,110.64194867304968,35.23147986216345,46.02367568584063,0.8835370531781226,0.8311638040716947,1.0630119464416792,0.004839566626230698,7.52988776615075,0.7117474670968303,2.045267184870136,0.09731595255162294,1.1024805135415086e-08,1.2241621654531353e-07,candidate
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,upper_leg,main_loop_leg,screening_only,direct_to_shear_magnitude_gap,dissipative,0.8940937962820349,0.022197541157231646,1945.8771271820497,0.019967119441943855,0.014926540565000005,0.38789684943445973,196.09562523844306,25.10171849610724,24.479469729115436,3.5239967031459836,0.8298293564076117,4.246652249568041,0.008577378244287687,7.52988776615075,0.7117474670968303,2.0039970948913752,0.34653072875735774,0.05686505657412925,0.13741350996448976,screening_only
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,left_lower_leg,main_loop_leg,screening_only,buoyancy_aided_or_net_gain_section,buoyancy_aided_or_net_gain,0.30879640909090905,0.02195991413590978,1950.101979908462,0.019372353387234566,0.013970305810833335,0.3659250103278438,-162.16102087633976,-63.029341606743024,-66.19949750140887,1.2360438925723531,1.3636415739437062,0.9064287245200838,-0.007094524426491025,7.969961276016875,0.7117042517763033,0.2531083035811462,0.10897746775587887,1.3167836733672508e-08,1.777668284985235e-07,candidate
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,left_upper_leg,main_loop_leg,screening_only,buoyancy_aided_or_net_gain_section,buoyancy_aided_or_net_gain,0.3599437894736842,0.021982731251817298,1945.7622512133255,0.0193217590514374,0.013970305810833335,0.3632060738896153,-148.76841516932654,-50.03047177950023,-52.15639061603101,2.0422775192151126,1.0038733055102285,2.0343976754886466,-0.006508599598136473,7.969961276016875,0.7117042517763033,0.5949981813859071,0.3402030751827502,8.868940965345827e-09,2.049482143059911e-08,candidate
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,lower_leg,main_loop_leg,candidate,dissipative_with_agreeing_friction_proxies,dissipative,0.9004136306150922,0.022041740782055636,1948.1211350322253,0.018904298872496908,0.013970211725000004,0.34810247615334855,17.93869410712182,2.5230015434682858,2.520835353318587,0.4717377750421475,0.9366004371867339,0.5036702486058046,0.0007848156285312045,7.969961276016875,0.7117042517763033,1.6201579505450185,11.706764381877552,1.7553629047395403,0.3692332594133331,screening_only
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,right_leg,main_loop_leg,screening_only,support_fraction_below_floor,dissipative,0.9144000000000002,0.022082226572606178,1951.5851664276997,0.018817241097864985,0.013970318215,0.3455169935650483,108.68190456530647,15.192333187404554,15.066546334543139,1.0972709606299316,1.1503658382881288,0.9538452239357106,0.004754819761797846,7.969961276016875,0.7117042517763033,7.303332235394552,18.3283869168576,17.742720468433195,0.9469271053715632,do_not_fit
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,test_section_span,test_section_leg,candidate,dissipative_with_agreeing_friction_proxies,dissipative,0.2512780000000001,0.020787565883064133,1946.776279033637,0.021623205825322782,0.013970302764999994,0.4551203087775399,111.46699396272447,40.522781179988066,52.93528894669412,0.9291447664176996,1.0189787206976753,0.9118392244555725,0.004876667075370266,7.969961276016875,0.7117042517763033,1.9218848391659027,0.09308689548097983,1.1024805135415086e-08,1.2766404343666313e-07,candidate
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,upper_leg,main_loop_leg,screening_only,direct_to_shear_magnitude_gap,dissipative,0.8940937962820349,0.022197541157231646,1945.6239206926746,0.01869051287078372,0.0139703874925,0.33983753071841094,195.3913634152757,28.548665589961217,27.846907907196854,4.215509321950185,0.9822949747852406,4.291490265306328,0.008548347765596204,7.969961276016875,0.7117042517763033,2.0046983860910146,0.35054557700330924,0.0507068984427078,0.12049395241945254,screening_only
