branch_name,branch_profile_index,case_count,branch_s_fraction,mean_effective_htc_w_m2_k,mean_effective_ua_per_m_w_m_k,mean_bulk_temp_k,mean_wall_temp_k,bulk_minus_wall_delta_k
lower_leg,62,3,0.6813186813186812,nan,nan,440.1461312905479,456.042530854115,-15.896399563567059
lower_leg,63,3,0.6923076923076922,nan,nan,440.102304684584,455.82694019916397,-15.724635514579973
lower_leg,64,3,0.7032967032967031,nan,nan,440.05949139306426,455.60205052855025,-15.542559135485968
lower_leg,65,3,0.7142857142857141,nan,nan,440.01163138612355,455.355144731541,-15.343513345417383
lower_leg,66,3,0.7252747252747253,nan,nan,439.97082471830646,455.10187186594766,-15.131047147641235
lower_leg,67,3,0.7362637362637362,nan,nan,439.9301541690495,454.86059247101065,-14.930438301961109
lower_leg,68,3,0.7472527472527473,nan,nan,439.848828560513,454.62032251278805,-14.771493952274986
lower_leg,69,3,0.7582417582417582,nan,nan,439.81001697896926,454.3654753869521,-14.555458407982863
lower_leg,70,3,0.7692307692307693,nan,nan,439.7715092132628,454.09827526829173,-14.32676605502896
lower_leg,71,3,0.7802197802197801,nan,nan,439.73411618719075,453.95368797381525,-14.219571786624462
lower_leg,72,3,0.7912087912087912,nan,nan,439.69837446428227,453.28165367911464,-13.583279214832354
lower_leg,73,3,0.8021978021978021,nan,nan,439.663495051894,452.94731481869894,-13.283819766804982
lower_leg,74,3,0.8131868131868133,nan,nan,439.6273318936353,452.25961199081684,-12.632280097181516
lower_leg,75,3,0.8241758241758242,nan,nan,439.59189373623207,451.4137975937897,-11.821903857557706
lower_leg,76,3,0.8351648351648352,nan,nan,439.5586123006937,450.1598674476154,-10.601255146921744
lower_leg,77,3,0.8461538461538461,nan,nan,439.5246161568748,448.38890152744193,-8.864285370567112
lower_leg,78,3,0.8571428571428572,nan,nan,439.48946782191,445.62818908613417,-6.1387212642241975
lower_leg,79,3,0.868131868131868,nan,nan,439.45261240974133,436.83624168414536,2.6163707255959707
lower_leg,80,3,0.8791208791208791,59.83059743187443,3.959637337056486,441.2234781587219,435.6137879642338,5.609690194488128
lower_leg,81,3,0.8901098901098901,64.09874607607695,4.465698981446608,441.20550273420866,435.98282343856425,5.222679295644336
lower_leg,82,3,0.901098901098901,62.08822602619089,4.263833310000854,441.18781221786594,435.80396921212196,5.383843005743965
lower_leg,83,3,0.9120879120879121,62.67393301544121,4.387226144973964,441.14864044569714,435.81556086087244,5.333079584824627
lower_leg,84,3,0.923076923076923,64.79237244624058,4.428041876830265,441.0883321080734,435.9259532106211,5.162378897452318
lower_leg,85,3,0.934065934065934,62.736642787339996,4.495682653324727,441.0762484779287,435.75186024299956,5.324388234929074
lower_leg,86,3,0.9450549450549449,61.65667913079011,4.4182928477297105,441.06227935099486,435.6482415097889,5.414037841205925
lower_leg,87,3,0.9560439560439559,59.89602752298976,3.815222444971097,441.0483313128143,435.48173575195233,5.566595560861913
lower_leg,88,3,0.9670329670329668,63.637356191133996,4.642896751801739,441.0352111206144,435.17769104371064,5.857520076903806
lower_leg,89,3,0.978021978021978,63.42754566795881,4.150033427560275,441.02361506121906,434.8558811798789,6.167733881340173
lower_leg,90,3,0.9890109890109889,59.99652423497005,4.416236323450926,441.0155257066436,434.51481456586686,6.50071114077673
lower_leg,91,3,1.0,57.855169944499984,3.7854356379580083,441.018505241226,434.2895032638169,6.729001977409155
right_leg,0,3,0.0,nan,nan,439.3856487357079,436.8492618056621,2.5363869300457886
right_leg,1,3,0.010869565217391304,nan,nan,439.96820936941776,436.8637684501773,3.104440919240498
right_leg,2,3,0.021739130434782608,nan,nan,440.53697845677215,436.88655348008683,3.650424976685277
right_leg,3,3,0.03260869565217391,nan,nan,441.0942878930589,436.9084554115557,4.18583248150325
right_leg,4,3,0.043478260869565216,nan,nan,441.64648099880714,436.93018024117595,4.71630075763115
right_leg,5,3,0.05434782608695652,nan,nan,442.19765360965,436.9507794814571,5.246874128192853
right_leg,6,3,0.06521739130434782,nan,nan,442.7483766597226,436.97151313839595,5.776863521326618
right_leg,7,3,0.07608695652173912,nan,nan,443.29916785317886,436.99362117013857,6.305546683040309
right_leg,8,3,0.08695652173913043,nan,nan,443.8487224802427,437.01589380608635,6.8328286741563415
right_leg,9,3,0.09782608695652174,nan,nan,444.4010812910651,437.0383314642563,7.3627498268087
right_leg,10,3,0.10869565217391304,nan,nan,444.9554095828882,437.05967439284433,7.895735190043847
right_leg,11,3,0.11956521739130434,nan,nan,445.50803729752596,437.08117063859726,8.42686665892874
right_leg,12,3,0.13043478260869565,nan,nan,446.05587097649544,437.1040952763968,8.951775700098684
right_leg,13,3,0.14130434782608697,nan,nan,446.60207830685266,437.12719214751684,9.474886159335805
right_leg,14,3,0.15217391304347824,nan,nan,447.1529366846585,437.1504652300873,10.002471454571227
right_leg,15,3,0.16304347826086957,nan,nan,447.70301630029365,437.17260836067203,10.530407939621568
right_leg,16,3,0.17391304347826086,nan,nan,448.24992655082946,437.19491683041497,11.05500972041447
right_leg,17,3,0.1847826086956522,nan,nan,448.79835002232727,437.21871687280577,11.579633149521518
right_leg,18,3,0.1956521739130435,nan,nan,449.3478484968275,437.2427078630747,12.105140633752834
right_leg,19,3,0.20652173913043478,nan,nan,449.89794861379943,437.2668951508745,12.631053462924834
right_leg,20,3,0.21739130434782608,nan,nan,450.44629957681667,437.2899227581954,13.156376818621274
right_leg,21,3,0.2282608695652174,nan,nan,450.995121929327,437.3131383798679,13.681983549459082
right_leg,22,3,0.23913043478260868,nan,nan,451.36339559576874,437.3379245665862,14.025471029182617
right_leg,23,3,0.25,nan,nan,444.06546197793006,437.36293211380166,6.702529864128394
right_leg,24,3,0.2608695652173913,nan,nan,451.0628402197843,437.38816631502954,13.67467390475474
right_leg,25,3,0.27173913043478265,25.29309332497117,1.7936594858782995,450.8049817322094,437.41363397150116,13.39134776070828
right_leg,26,3,0.28260869565217395,25.323944512663655,1.5963087087603363,450.81113597682815,437.4379055871363,13.373230389691892
right_leg,27,3,0.29347826086956524,25.497150155935987,1.808130174212695,450.74723233817303,437.4624024370698,13.284829901103251
right_leg,28,3,0.3043478260869565,25.701215100628463,1.8226014379320084,450.6716830239423,437.4885855339756,13.183097489966656
right_leg,29,3,0.31521739130434784,25.863998648310787,1.834145231753278,450.61807724513795,437.51503158427676,13.103045660861142
right_leg,30,3,0.32608695652173914,25.984449158678128,1.8426869786136926,450.586379594381,437.54174741096705,13.04463218341393
right_leg,31,3,0.33695652173913043,26.07574401322043,1.6436988019340255,450.5687509559727,437.56722213292977,13.001528823042994
right_leg,32,3,0.34782608695652173,26.153899571162565,1.8547035530924871,450.55789455574296,437.59298022190774,12.964914333835225
right_leg,33,3,0.3586956521739131,26.230009696420314,1.8601008946180713,450.55028937652895,437.62054095453215,12.929748421996768
right_leg,34,3,0.3695652173913044,26.305696273826044,1.865468214897956,450.54352233431104,437.64840656159294,12.8951157727181
right_leg,35,3,0.3804347826086956,26.381157426387716,1.8708195418538585,450.5374847962283,437.67658548365347,12.860899312574835
right_leg,36,3,0.391304347826087,26.45398627955356,1.6675415269210105,450.53157296714335,437.70349183064735,12.828081136495996
right_leg,37,3,0.40217391304347827,26.52779979654662,1.8812186842160645,450.5257377460193,437.730697459974,12.795040286045227
right_leg,38,3,0.41304347826086957,26.605778466347584,1.8867485408843612,450.52021481277296,437.75982699284106,12.760387819931907
right_leg,39,3,0.4239130434782609,26.68473358295003,1.8923476422687795,450.5148177208717,437.78930037077015,12.72551735010156
right_leg,40,3,0.43478260869565216,26.764744260531756,1.898021598750601,450.50952491254446,437.81912619642344,12.69039871612093
right_leg,41,3,0.4456521739130435,26.841866232988405,1.6919917336822181,450.50436170541184,437.8476230680822,12.656738637329624
right_leg,42,3,0.4565217391304348,26.919935707102308,1.909026998789735,450.49932851220746,437.8764579556073,12.622870556600143
right_leg,43,3,0.4673913043478261,27.002970889716988,1.9149154380187614,450.494447089943,437.90735891274335,12.58708817719969
right_leg,44,3,0.47826086956521735,27.08706972832374,1.9208793064029193,450.4897330493922,437.93865379557434,12.551079253817818
right_leg,45,3,0.4891304347826087,27.17219942583606,1.9269162781371139,450.4852177089338,437.97035239233355,12.514865316600265
right_leg,46,3,0.5,27.254084026955752,1.7179761080105684,450.48089977273236,438.0006563626593,12.480243410073152
right_leg,47,3,0.5108695652173914,27.336825573375787,1.938590739910704,450.4768432584887,438.0313597583492,12.445483500139536
right_leg,48,3,0.5217391304347826,27.424863465233425,1.9448339462207394,450.4730821122865,438.0643278010977,12.40875431118881
right_leg,49,3,0.532608695652174,27.513820790832003,1.9511423541662853,450.46967111657113,438.09777362964945,12.371897486921682
right_leg,50,3,0.5434782608695653,27.6036708104413,1.957514067499531,450.46665534655676,438.13172241823304,12.33493292832378
right_leg,51,3,0.5543478260869565,27.6894052042897,1.7454168167583617,450.4641759486035,438.1642636426656,12.29991230593786
right_leg,52,3,0.5652173913043479,27.775507244623885,1.9696998466856463,450.4623061003262,438.1973067425859,12.264999357740237
right_leg,53,3,0.5760869565217391,27.86623482798889,1.9761337924447535,450.4613559072257,438.23285190694327,12.228504000282442
right_leg,54,3,0.5869565217391305,27.952874941446563,1.9822778753121308,450.46307792316935,438.26900721671046,12.19407070645885
right_leg,55,3,0.5978260869565217,28.011514763234103,1.9864363177473408,450.47787236975864,438.3058056362783,12.17206673348043
right_leg,56,3,0.608695652173913,27.962428194885817,1.7626269704482562,450.5379943829734,438.34117364925055,12.196820733722822
right_leg,57,3,0.6195652173913043,28.068933529009442,1.9905081690063497,450.53181260572865,438.377192241192,12.154620364536584
right_leg,58,3,0.6304347826086957,28.217750706195545,2.0010615377893806,450.51087190055546,438.4160602479924,12.094811652563104
right_leg,59,3,0.641304347826087,28.364399221952763,2.0114611159666462,450.4923239055726,438.4557339987755,12.036589906797152
right_leg,60,3,0.6521739130434783,28.513611651811885,2.0220425140893887,450.4741284850623,438.49626788289333,11.97786060216896
right_leg,61,3,0.6630434782608696,28.657623961255087,1.8064490161949027,450.45692013738227,438.5353917539458,11.921528383436529
right_leg,62,3,0.6739130434782609,28.802383351059998,2.0425207565469363,450.4404188065023,438.57541006667105,11.865008739831259
right_leg,63,3,0.6847826086956522,28.95729083913783,2.0535060196721107,450.4244485756976,438.618770971934,11.805677603763627
right_leg,64,3,0.6956521739130435,29.115789557205645,2.064745954839733,450.40888246083995,438.663260887075,11.745621573764899
right_leg,65,3,0.7065217391304347,29.279007540223414,2.0763205566389242,450.3934070167135,438.7089710776806,11.684435939032957
right_leg,66,3,0.7173913043478262,29.4395113098916,1.8557357132926755,450.3782301035022,438.75334081283,11.624889290672135
right_leg,67,3,0.7282608695652174,29.604826105312736,2.0994259772546844,450.3632519351016,438.7990090509699,11.564242884131716
right_leg,68,3,0.7391304347826088,29.783191104616986,2.1120747295777105,450.3484947352283,438.8488571083997,11.499637626828587
right_leg,69,3,0.75,29.967996267169706,2.12518018601966,450.33392137789366,438.90039390348556,11.433527474408152
right_leg,70,3,0.7608695652173912,30.160288031820798,2.138816554782123,450.31938842794085,438.95378585659773,11.365602571343175
