time,ambient_proxy_w,ambient_noncooling_proxy_w,cooling_branch_total_removal_w,cooling_branch_excess_w,net_total_q_w,section_downcomer_net_q_w,section_heater_net_q_w,section_upcomer_net_q_w,section_test_section_net_q_w,section_cooling_branch_net_q_w,section_upper_transport_net_q_w,section_lower_transport_net_q_w,section_junctions_net_q_w,section_other_net_q_w
6901.0,188.02891301058,108.01817301058,136.35074,80.01074,0.27376704942000707,-22.197186008000003,244.64268006,-19.24021900858,-7.428892626,-136.35074,-11.853598057,-6.3744840766,-40.9237932344,0.0
6902.0,188.02820436679,108.01746436679,136.35074,80.01074,0.27446546321001897,-22.197206627,244.64266983,-19.24022793409,-7.428913529,-136.35074,-11.853602517600002,-6.3744995764,-40.923014182699994,0.0
6903.0,188.02574692732003,108.01500692732004,136.35074,80.01074,0.2769206726800393,-22.197207527,244.64266759999998,-19.24023781722,-7.428933177,-136.35074,-11.853607743900001,-6.374470034300001,-40.92055062789999,0.0
6904.0,188.02005328861998,108.00931328861998,136.35074,80.01074,0.2826189113800215,-22.197204266,244.64267220000002,-19.24024806642,-7.42895243,-136.35074,-11.8536136628,-6.3744491568,-40.9148457066,0.0
6905.0,188.01339913769,108.00265913769,136.35074,80.01074,0.2892776823100327,-22.19720832,244.64267682,-19.24025789419,-7.428972278,-136.35074,-11.8536200236,-6.374453109700001,-40.9081475122,0.0
6906.0,188.01216173783,108.00142173783001,136.35074,80.01074,0.2905248521699866,-22.197224934,244.64268659,-19.240267181129997,-7.428993321,-136.35074,-11.8536269738,-6.3744422802,-40.906867047700004,0.0
6907.0,188.02012427019002,108.00938427019003,136.35074,80.01074,0.2825921998099652,-22.197252442,244.64271647,-19.240276236089997,-7.429015608,-136.35074,-11.8536351469,-6.3744098689,-40.9147949683,0.0
6908.0,188.03315601229,108.02241601229,136.35074,80.01074,0.2696071177099677,-22.197288279,244.64276313,-19.24028535189,-7.429038536,-136.35074,-11.8536452251,-6.374385097299999,-40.927773523000006,0.0
6909.0,188.04251895842003,108.03177895842002,136.35074,80.01074,0.2602739415800608,-22.197342195,244.64279290000002,-19.24029446622,-7.429061706,-136.35074,-11.853653165999999,-6.3743886057,-40.93703881950001,0.0
6910.0,188.04776124795,108.03702124795,136.35074,80.01074,0.2550132920499921,-22.197429555,244.64277454,-19.240303180550004,-7.429085146,-136.35074,-11.8536538372,-6.3744132662,-40.942136262999995,0.0
6911.0,188.05122402618002,108.04048402618002,136.35074,80.01074,0.25149041382005066,-22.197494003,244.64271444000002,-19.24031130428,-7.429108915,-136.35074,-11.853651588,-6.3744430198,-40.9454751961,0.0
6912.0,188.05185981009,108.04111981009001,136.35074,80.01074,0.25078733990997026,-22.197427556,244.64264715,-19.24031914969,-7.429132865,-136.35074,-11.853653642,-6.374468631499999,-40.94611796590001,0.0
6913.0,188.0484860217,108.0377460217,136.35074,80.01074,0.25411344830002314,-22.197285231000002,244.64259947,-19.2403270944,-7.429156591,-136.35074,-11.853660721899999,-6.3744863801000005,-40.9428300033,0.0
6914.0,188.04240404731,108.03166404730999,136.35074,80.01074,0.2601704226900585,-22.197208016,244.64257447,-19.24033534861,-7.42917994,-136.35074,-11.8536693086,-6.3744961825,-40.9367752516,0.0
6915.0,188.03610738517,108.02536738517,136.35074,80.01074,0.2664546148300113,-22.197228799,244.642562,-19.24034396127,-7.42920284,-136.35074,-11.853676691500002,-6.374499623999999,-40.930415469399996,0.0
6916.0,188.03174873876003,108.02100873876003,136.35074,80.01074,0.2708034612400265,-22.19729535,244.6425522,-19.240352622459998,-7.429225498,-136.35074,-11.8536823202,-6.3745045972000005,-40.92594835089999,0.0
6917.0,188.02998435691,108.01924435691001,136.35074,80.01074,0.2725563430900495,-22.197351376,244.64254069999998,-19.24036106921,-7.429247722,-136.35074,-11.8536867995,-6.3745267515999995,-40.9240706386,0.0
6918.0,188.02931952026,108.01857952026,136.35074,80.01074,0.27321032973997195,-22.197376111,244.64252985,-19.24036983416,-7.429268736,-136.35074,-11.853691165899999,-6.374547447099999,-40.923326226099995,0.0
6919.0,188.02725565835004,108.01651565835003,136.35074,80.01074,0.27527063164999177,-22.197378804,244.64252628999998,-19.24037954835,-7.429288424,-136.35074,-11.8536962395,-6.3745225736,-40.921250068899994,0.0
6920.0,188.02200712676,108.01126712676,136.35074,80.01074,0.280523293240055,-22.197375266,244.64253041999999,-19.24038976416,-7.429307569,-136.35074,-11.8537020542,-6.3744969744999995,-40.9159954989,0.0
6921.0,188.01517763120998,108.00443763120998,136.35074,80.01074,0.28735754878998776,-22.197377704999997,244.64253518,-19.24039963411,-7.429327183,-136.35074,-11.853708322500001,-6.374499688499999,-40.909125098100006,0.0
6922.0,188.01273112551002,108.00199112551002,136.35074,80.01074,0.2898121744899882,-22.197392405,244.6425433,-19.240408942210003,-7.429347933,-136.35074,-11.853715135099998,-6.374492653400001,-40.90663405680001,0.0
6923.0,188.01941317441998,108.00867317442,136.35074,80.01074,0.28315656557999436,-22.197418544,244.64256974,-19.240417967320003,-7.429369969,-136.35074,-11.853723032800001,-6.3744619467,-40.9132817146,0.0
6924.0,188.03230906846002,108.02156906846002,136.35074,80.01074,0.2703064815399623,-22.197452953,244.64261555000002,-19.24042702126,-7.429392742,-136.35074,-11.853732890499998,-6.3744341304,-40.926129331300004,0.0
6925.0,188.04244832622,108.03170832622001,136.35074,80.01074,0.2602020537799854,-22.197502889,244.64265038,-19.240436115319998,-7.429415778,-136.35074,-11.8537415697,-6.3744334151,-40.9361785591,0.0
6926.0,188.04808631613002,108.03734631613003,136.35074,80.01074,0.25455340387002323,-22.197585994,244.64263971999998,-19.24044487003,-7.429439075,-136.35074,-11.8537432391,-6.374456061899999,-40.9416770761,0.0
6927.0,188.05180386765,108.04106386765,136.35074,80.01074,0.2507800023499991,-22.197661612,244.64258387,-19.24045302445,-7.429462694,-136.35074,-11.8537408537,-6.374485818700001,-40.9452598648,0.0
6928.0,188.05297638787002,108.04223638787002,136.35074,80.01074,0.24953910213000619,-22.197615893,244.64251549,-19.240460840670004,-7.429486542,-136.35074,-11.8537420331,-6.374512341199999,-40.946418737900004,0.0
6929.0,188.05015744713003,108.03941744713003,136.35074,80.01074,0.25230683287002,-22.197474771000003,244.64246428,-19.24046871143,-7.42951021,-136.35074,-11.853748543200002,-6.374531283,-40.94368392849999,0.0
6930.0,188.04432440851002,108.03358440851001,136.35074,80.01074,0.2581121314900816,-22.197382871000002,244.64243654,-19.240476869909998,-7.429533515,-136.35074,-11.853757101600001,-6.374542143799999,-40.937891907200004,0.0
6931.0,188.03790538815997,108.02716538815996,136.35074,80.01074,0.26451762183998717,-22.197391612,244.64242301,-19.24048539946,-7.429556368,-136.35074,-11.8537647119,-6.3745462698,-40.931421027,0.0
6932.0,188.03317757473002,108.02243757473002,136.35074,80.01074,0.26923570527001317,-22.197455486000003,244.64241328,-19.24049404073,-7.429578941,-136.35074,-11.8537705459,-6.374550017400001,-40.92658854370001,0.0
6933.0,188.03108448065998,108.02034448065999,136.35074,80.01074,0.2713175793399403,-22.197515263,244.64240206,-19.24050246266,-7.429601167,-136.35074,-11.8537751041,-6.374569255499999,-40.9243812284,0.0
6934.0,188.03041010668,108.01967010667998,136.35074,80.01074,0.2719806533200311,-22.197544342,244.64239075999998,-19.24051108278,-7.429622279,-136.35074,-11.853779394200002,-6.374593814200001,-40.923619194500006,0.0
6935.0,188.02870319495997,108.01796319495998,136.35074,80.01074,0.27368270503998016,-22.197549164,244.64238590000002,-19.24052061606,-7.429642017,-136.35074,-11.853784315199999,-6.374574896,-40.92189218669999,0.0
6936.0,188.02393009181998,108.01319009182,136.35074,80.01074,0.2784592481800221,-22.197545599,244.64238934000002,-19.240530773720003,-7.429661065,-136.35074,-11.853790015700001,-6.3745452797999995,-40.917117358599995,0.0
6937.0,188.01704343624,108.00630343623997,136.35074,80.01074,0.2853508737599979,-22.197546555000002,244.64239431000001,-19.24054068294,-7.429680451,-136.35074,-11.8537961954,-6.3745457131,-40.91019383879999,0.0
6938.0,188.01350645643,108.00276645643001,136.35074,80.01074,0.2888946935700325,-22.197559314,244.64240115,-19.24055001793,-7.429700905,-136.35074,-11.853802880399998,-6.374542176,-40.9066111631,0.0
6939.0,188.01884688248998,108.00810688249,136.35074,80.01074,0.2835773375099908,-22.19758399,244.64242422,-19.24055901719,-7.429722669,-136.35074,-11.853810526099998,-6.374513836,-40.91191684420001,0.0
6940.0,188.03136407610998,108.02062407610998,136.35074,80.01074,0.2711044338899855,-22.197617105,244.64246851000001,-19.24056801141,-7.429745269,-136.35074,-11.8538200998,-6.3744835446,-40.924390046300005,0.0
6941.0,188.04227366318,108.03153366318,136.35074,80.01074,0.26023391681996255,-22.197663561,244.64250758,-19.240577073180003,-7.429768167,-136.35074,-11.8538293611,-6.3744784952,-40.9352170057,0.0
6942.0,188.04837746725997,108.03763746725998,136.35074,80.01074,0.25412716274001035,-22.197741707,244.64250463000002,-19.24058585836,-7.429791315,-136.35074,-11.8538321045,-6.3744987526,-40.941187729800006,0.0
6943.0,188.05232870249,108.04158870249,136.35074,80.01074,0.25012507750999546,-22.19782548,244.64245377999998,-19.24059405149,-7.429814775,-136.35074,-11.8538297664,-6.3745283098000005,-40.944996319800005,0.0
6944.0,188.05400250291,108.04326250291,136.35074,80.01074,0.24838248709004773,-22.197801109,244.64238498999998,-19.24060184341,-7.429838503,-136.35074,-11.853830103199998,-6.3745556602999995,-40.946635283999996,0.0
6945.0,188.05176092826997,108.04102092826997,136.35074,80.01074,0.2505694417299953,-22.197664773,244.64233036999997,-19.240609646070002,-7.429862106,-136.35074,-11.8538359612,-6.3745757989000005,-40.9444726431,0.0
6946.0,188.04623065097002,108.03549065097003,136.35074,80.01074,0.25606897902999126,-22.19755916,244.64229963,-19.24061770807,-7.429885357,-136.35074,-11.8538444261,-6.3745877558,-40.938996244,0.0
6947.0,188.03973993067996,108.02899993067997,136.35074,80.01074,0.2625448793200107,-22.197554697,244.64228480999998,-19.24062614858,-7.429908161,-136.35074,-11.8538522485,-6.3745926913,-40.932465984299995,0.0
6948.0,188.03466519745,108.02392519745,136.35074,80.01074,0.26760983254996606,-22.197614568,244.64227503,-19.24063475785,-7.429930645,-136.35074,-11.8538582972,-6.3745956152,-40.9272913142,0.0
6949.0,188.03221180362,108.02147180361999,136.35074,80.01074,0.2700523563800008,-22.197677553,244.64226416,-19.24064316572,-7.429952849,-136.35074,-11.8538629585,-6.3746118561,-40.924723421299994,0.0
6950.0,188.03146559582,108.02072559582001,136.35074,80.01074,0.27078696418002135,-22.197711186,244.64225256,-19.24065165872,-7.429974049,-136.35074,-11.853867191299997,-6.3746388532000005,-40.923882657600004,0.0
6951.0,188.03006635218003,108.01932635218003,136.35074,80.01074,0.27218007781997855,-22.197718509,244.64224643,-19.240661002080003,-7.429993847,-136.35074,-11.853871964,-6.374626844100001,-40.922454186,0.0
6952.0,188.02578721087997,108.01504721087997,136.35074,80.01074,0.2764618091199651,-22.197715201,244.64224902,-19.24067108288,-7.430012817,-136.35074,-11.8538775411,-6.374594277200001,-40.91817629169999,0.0
6953.0,188.01896448207998,108.00822448207998,136.35074,80.01074,0.2832896679200312,-22.19771484,244.64225414999999,-19.24068102248,-7.430031986,-136.35074,-11.8538836303,-6.3745914681,-40.9113215352,0.0
6954.0,188.01447496273,108.00373496273,136.35074,80.01074,0.28778509727000223,-22.197725657,244.64226006,-19.24069038913,-7.430052147,-136.35074,-11.8538901977,-6.3745909519,-40.906785619999994,0.0
6955.0,188.01844811297,108.00770811297,136.35074,80.01074,0.2838317770300369,-22.197748775999997,244.64227989,-19.240699372469997,-7.430073626,-136.35074,-11.853897623699998,-6.3745655501,-40.9107231647,0.0
6956.0,188.03037130964003,108.01963130964002,136.35074,80.01074,0.2719507203600342,-22.197780674,244.64232203,-19.24070830614,-7.430096041,-136.35074,-11.8539068739,-6.3745334183,-40.92260599630001,0.0
6957.0,188.04199027803998,108.03125027803998,136.35074,80.01074,0.2603741919600431,-22.197824133,244.64236447000002,-19.240717326640002,-7.430118801,-136.35074,-11.8539165535,-6.374524006300001,-40.9341494576,0.0
6958.0,188.04863671137997,108.03789671137999,136.35074,80.01074,0.25373238862002623,-22.197896973,244.6423691,-19.24072613738,-7.430141803,-136.35074,-11.8539204082,-6.374541501000001,-40.940669888799995,0.0
6959.0,188.05281078733003,108.04207078733003,136.35074,80.01074,0.24951319267004735,-22.197985965,244.64232398000001,-19.240734372329996,-7.430165106,-136.35074,-11.8539183063,-6.374570622399999,-40.9446964153,0.0
6960.0,188.05494220395,108.04420220395,136.35074,80.01074,0.24731325605000443,-22.197982764,244.64225546,-19.240742150849997,-7.430188706,-136.35074,-11.8539178594,-6.3745986992,-40.94677202449999,0.0
6961.0,188.05329221655,108.04255221655002,136.35074,80.01074,0.24890540344999668,-22.197854829,244.64219762,-19.24074988925,-7.43021224,-136.35074,-11.8539229933,-6.374620018500001,-40.9451922465,0.0
6962.0,188.04811358879,108.03737358878999,136.35074,80.01074,0.25405010120999894,-22.197736995,244.64216369000002,-19.24075785999,-7.430235437,-136.35074,-11.8539312915,-6.374633099,-40.940078906299995,0.0
6963.0,188.04159855440997,108.03085855440997,136.35074,80.01074,0.2605487555900403,-22.197718397,244.64214731,-19.24076620461,-7.430258198,-136.35074,-11.853939304799999,-6.3746389286,-40.9335375214,0.0
6964.0,188.03620179760998,108.02546179760999,136.35074,80.01074,0.26593555239000377,-22.197772882000002,244.64213735,-19.24077477381,-7.430280596,-136.35074,-11.853945581800001,-6.3746413947,-40.92804656930001,0.0
6965.0,188.03336479681002,108.02262479681002,136.35074,80.01074,0.26876201319002124,-22.197838369,244.64212680999998,-19.24078317241,-7.430302759,-136.35074,-11.8539503662,-6.3746547257,-40.9250954045,0.0
6966.0,188.0325085321,108.0217685321,136.35074,80.01074,0.26960650789996166,-22.197876664,244.64211504,-19.24079156,-7.430324039,-136.35074,-11.853954565599999,-6.3746827584,-40.9241389451,0.0
6967.0,188.03136841531,108.02062841531,136.35074,80.01074,0.27073929469006597,-22.197886833,244.64210771,-19.24080071041,-7.430343912,-136.35074,-11.8539591936,-6.374678171999999,-40.92295959430001,0.0
6968.0,188.02757745129,108.01683745129,136.35074,80.01074,0.27453182871002735,-22.197884068999997,244.64210928,-19.24081069159,-7.430362827,-136.35074,-11.8539646411,-6.374644014,-40.9191712086,0.0
6969.0,188.02092005936998,108.01018005937,136.35074,80.01074,0.28119446063007647,-22.197882562,244.64211452,-19.24082065177,-7.430381796,-136.35074,-11.853970642700002,-6.3746371426,-40.9124872643,0.0
6970.0,188.01564048157002,108.00490048157,136.35074,80.01074,0.286479308430037,-22.197891454999997,244.64211978999998,-19.24083005787,-7.430401671,-136.35074,-11.853977101800002,-6.3746389878,-40.90716120810001,0.0
6971.0,188.01823345709,108.00749345709,136.35074,80.01074,0.28390318291002803,-22.197912922,244.64213664,-19.24083903019,-7.430422856,-136.35074,-11.8539843304,-6.3746169906,-40.909717327900005,0.0
6972.0,188.02935473970996,108.01861473970997,136.35074,80.01074,0.2728213802899777,-22.197943636999998,244.64217612000004,-19.240847909510002,-7.430445071,-136.35074,-11.8539932386,-6.374583718199999,-40.92080116540001,0.0
6973.0,188.04157835695997,108.03083835695998,136.35074,80.01074,0.260642673039996,-22.19798454,244.64222103,-19.24085688476,-7.430467694,-136.35074,-11.854003175600003,-6.3745700095,-40.9329560531,0.0
6974.0,188.04884060192,108.03810060192001,136.35074,80.01074,0.25339234808005884,-22.19805202,244.64223295000002,-19.24086570712,-7.430490552,-136.35074,-11.854008137200001,-6.3745843635,-40.940099822099995,0.0
6975.0,188.0532449676,108.04250496759998,136.35074,80.01074,0.24894920240001195,-22.198143525,244.64219416999998,-19.240873989,-7.430513698,-136.35074,-11.8540064632,-6.3746127785,-40.944354513899995,0.0
6976.0,188.05578464056998,108.04504464057,136.35074,80.01074,0.24634206943002646,-22.198160595,244.64212670999999,-19.24088176507,-7.430537162,-136.35074,-11.854005320800002,-6.3746414667,-40.946818331,0.0
6977.0,188.05473597483,108.04399597483001,136.35074,80.01074,0.24732991516999991,-22.198044485,244.64206589,-19.24088944403,-7.430560623,-136.35074,-11.854009665300001,-6.374663937799999,-40.9458278197,0.0
6978.0,188.04996245589,108.03922245589,136.35074,80.01074,0.25206615411005284,-22.19791637,244.64202860999998,-19.24089732569,-7.430583765,-136.35074,-11.8540177217,-6.3746781602,-40.9411291133,0.0
6979.0,188.04347516990003,108.03273516990002,136.35074,80.01074,0.25853525010000045,-22.197882872999998,244.64201042,-19.240905573600003,-7.430606483,-136.35074,-11.8540258945,-6.374684933999999,-40.93462941180001,0.0
6980.0,188.03778718407,108.02704718407,136.35074,80.01074,0.2642129459299989,-22.197930540999998,244.64200013,-19.24091409167,-7.430628803,-136.35074,-11.854032407500002,-6.3746872603,-40.928854080600004,0.0
6981.0,188.03456181435,108.02382181435,136.35074,80.01074,0.2674280756500682,-22.197997699000002,244.64198989,-19.24092248385,-7.430650911,-136.35074,-11.8540373358,-6.3746979001,-40.9255154846,0.0
6982.0,188.03353282689,108.02279282689,136.35074,80.01074,0.2684452531100163,-22.198040691000003,244.64197808,-19.24093078369,-7.430672259,-136.35074,-11.8540415259,-6.374725688600001,-40.924381878700004,0.0
6983.0,188.03259545107,108.02185545107001,136.35074,80.01074,0.2693742389299958,-22.198054067999998,244.64196969,-19.24093974507,-7.430692217,-136.35074,-11.854046018600002,-6.374728556899999,-40.923394845500006,0.0
6984.0,188.02929367676003,108.01855367676004,136.35074,80.01074,0.2726764032400233,-22.198052151,244.64197008000002,-19.24094960886,-7.430711102,-136.35074,-11.8540513304,-6.3746943752,-40.9200951093,0.0
6985.0,188.02290228114998,108.01216228114998,136.35074,80.01074,0.27907303884999024,-22.1980497,244.64197532000003,-19.24095957785,-7.430729888,-136.35074,-11.854057240300001,-6.374682812900001,-40.9136830621,0.0
6986.0,188.01698832764998,108.00624832765,136.35074,80.01074,0.2849919123500291,-22.198056711,244.64198024,-19.240969026250003,-7.430749484,-136.35074,-11.8540635951,-6.3746862233,-40.907723288,0.0
6987.0,188.01821595828,108.00747595827998,136.35074,80.01074,0.2837784017199896,-22.198076435,244.64199435999998,-19.240977994380003,-7.430770366,-136.35074,-11.8540706465,-6.3746679499,-40.9089125665,0.0
6988.0,188.02835903692,108.01761903692001,136.35074,80.01074,0.27367178307999396,-22.198105956,244.64203082,-19.24098682452,-7.430792368,-136.35074,-11.8540792183,-6.3746342580999995,-40.919020411999995,0.0
6989.0,188.04104530438002,108.03030530438002,136.35074,80.01074,0.26103197561997593,-22.198144688,244.64207728,-19.240995745579998,-7.430814849,-136.35074,-11.8540892589,-6.3746164135,-40.9316443494,0.0
6990.0,188.04899249040002,108.03825249040003,136.35074,80.01074,0.2531035995999895,-22.198206972,244.64209609,-19.241004574599998,-7.430837562,-136.35074,-11.8540952819,-6.3746272734,-40.93948082650001,0.0
6991.0,188.05364978504002,108.04290978504004,136.35074,80.01074,0.24841439495997886,-22.198298623,244.64206418,-19.24101290354,-7.430860555,-136.35074,-11.8540942153,-6.374654677400001,-40.94398881080001,0.0
6992.0,188.05655303843002,108.04581303843001,136.35074,80.01074,0.24544556156994268,-22.198334349,244.64199860000002,-19.241020687130003,-7.430883874,-136.35074,-11.854092486099999,-6.3746838413999996,-40.946797800800006,0.0
6993.0,188.05610406213998,108.04536406214,136.35074,80.01074,0.24583112785999983,-22.198233165999998,244.64193519,-19.241028314439998,-7.430907256,-136.35074,-11.8540959934,-6.374707412599999,-40.94639191969999,0.0
6994.0,188.05177715294,108.04103715293999,136.35074,80.01074,0.2501172770599416,-22.198097201,244.64189442999998,-19.24103611114,-7.430930343,-136.35074,-11.8541037266,-6.3747227974,-40.9421469738,0.0
6995.0,188.04537764887002,108.03463764887002,136.35074,80.01074,0.2564965411300095,-22.198048351,244.64187419,-19.24104426057,-7.430953021,-136.35074,-11.8541120229,-6.374730551300001,-40.935749442100004,0.0
6996.0,188.03943189307,108.02869189306999,136.35074,80.01074,0.26243149693005563,-22.198087796,244.64186338999997,-19.24105272047,-7.430975272,-136.35074,-11.854118776299998,-6.374733019899999,-40.92972430839999,0.0
6997.0,188.03580488538,108.02506488538,136.35074,80.01074,0.26604854462006067,-22.198155645,244.64185343000003,-19.24106110808,-7.430997314,-136.35074,-11.8541238663,-6.374741287599999,-40.9259856644,0.0
6998.0,188.03456243127,108.02382243127,136.35074,80.01074,0.26727928873002416,-22.198203259000003,244.64184172,-19.241069340870002,-7.431018717,-136.35074,-11.854128071,-6.3747677718,-40.924635271599996,0.0
6999.0,188.03376683458998,108.02302683459,136.35074,80.01074,0.2680655754099961,-22.198220178,244.64183241,-19.241078120090002,-7.431038772,-136.35074,-11.854132440899999,-6.3747776757,-40.9237796479,0.0
7000.0,188.03092394478,108.02018394478002,136.35074,80.01074,0.2709075952199784,-22.198219424999998,244.64183154,-19.24108784268,-7.431057651,-136.35074,-11.854137609200002,-6.3747451626,-40.9209362543,0.0
7001.0,188.02487655401998,108.01413655401998,136.35074,80.01074,0.27696008597997857,-22.198216240999997,244.64183664,-19.24109781172,-7.431076279,-136.35074,-11.8541434272,-6.3747285748,-40.9148742203,0.0
7002.0,188.01849643364,108.00775643364,136.35074,80.01074,0.28334499635998256,-22.19822144,244.64184142999997,-19.24110730534,-7.43109561,-136.35074,-11.8541496848,-6.374732653300001,-40.9084497402,0.0
7003.0,188.01837719567,108.00763719567001,136.35074,80.01074,0.2834760043300477,-22.198239343,244.64185319999999,-19.24111628207,-7.431116188,-136.35074,-11.8541565761,-6.3747182924,-40.9082905141,0.0
