source_id,case_label,feature_name,feature_class,mean_abs_delta_p_rgh_pa,mean_existing_span_reference_dp_pa,mean_local_boundary_reference_dp_pa,mean_reference_method_gap_fraction,mean_feature_excess_dp_existing_pa,mean_feature_excess_dp_local_pa,fit_use_status
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,corner_lower_right,bend,2.52685953525,3.0568231481450745,3.1932366826188145,0.042719507766884116,-0.5299636128950753,-0.6663771473688149,excluded
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,corner_upper_left,bend,4.0819625675000015,3.492033150631527,3.2059273470984406,0.08924275971234774,0.5899294168684746,0.8760352204015609,fit_used
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,corner_upper_right,bend,7.2126631295,3.4353231745107373,3.158817135673309,0.0875367880055084,3.777339954989263,4.053845993826691,fit_used
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,test_section_complex,quartz_transition,4.623219924,4.5235383531914835,3.668556999438796,0.23305658157166229,0.09968157080851614,0.954662924561204,fit_used
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,corner_lower_left,bend,0.42106361025000005,3.5239107917501995,3.1912630279820773,0.10423702492000553,-3.1028471815001994,-2.7701994177320777,excluded
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,corner_lower_right,bend,2.3393691957499994,3.0204096238234084,3.1794745053547775,0.05002867022927292,-0.681040428073409,-0.8401053096047784,excluded
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,corner_upper_left,bend,8.12923494,3.6645949036754613,3.243221492106974,0.1299243399175784,4.464640036324539,4.886013447893026,fit_used
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,corner_upper_right,bend,4.42628578975,3.350971872941059,3.2247394749273868,0.039144991090057826,1.0753139168089416,1.2015463148226133,fit_used
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,test_section_complex,quartz_transition,4.475436191249999,4.784896617358471,3.9241684740851164,0.2193402625186798,-0.30946042610847146,0.5512677171648831,fit_used
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,corner_lower_left,bend,0.64197996475,3.380023508856076,3.5779997278865485,0.05533153592078056,-2.738043544106076,-2.9360197631365486,excluded
