sensor,kind,predicted_K,target_K,error_K,abs_error_K,scoreable,score_exclusion_reason,prediction_source_segment,prediction_source_fraction,candidate_id,case,case_id,split_role
TW1,TW,560.3232332799506,455.0,105.32323327995061,105.32323327995061,True,,right_vertical,0.25000000000000067,tswfc2_smoke_salt2_four_node_v1,Salt 3,salt_3,train_nominal
TW10,TW,558.2008342121526,399.09,159.1108342121526,159.1108342121526,False,policy_excluded_tp2_tw10_or_validation,cooled_incline_hx_active,0.5000000000000028,tswfc2_smoke_salt2_four_node_v1,Salt 3,salt_3,train_nominal
TW11,TW,561.4968994241196,460.54999999999995,100.94689942411969,100.94689942411969,True,,cooled_incline_post_hx,0.2499999999999991,tswfc2_smoke_salt2_four_node_v1,Salt 3,salt_3,train_nominal
TW2,TW,559.6126230565646,456.08,103.53262305656466,103.53262305656466,True,,right_vertical,0.4999999999999999,tswfc2_smoke_salt2_four_node_v1,Salt 3,salt_3,train_nominal
TW3,TW,559.3524011774532,454.9,104.45240117745323,104.45240117745323,True,,right_vertical,0.7499999999999999,tswfc2_smoke_salt2_four_node_v1,Salt 3,salt_3,train_nominal
TW4,TW,560.4518479674163,458.0,102.45184796741626,102.45184796741626,True,,heated_incline,0.2500000000000007,tswfc2_smoke_salt2_four_node_v1,Salt 3,salt_3,train_nominal
TW5,TW,561.8406752933852,485.59,76.2506752933852,76.2506752933852,True,,heated_incline,0.4999999999999988,tswfc2_smoke_salt2_four_node_v1,Salt 3,salt_3,train_nominal
TW6,TW,563.6937131839849,480.13,83.56371318398487,83.56371318398487,True,,heated_incline,0.7499999999999999,tswfc2_smoke_salt2_four_node_v1,Salt 3,salt_3,train_nominal
TW7,TW,564.6690263863768,464.84,99.82902638637682,99.82902638637682,True,,left_lower_vertical,0.5,tswfc2_smoke_salt2_four_node_v1,Salt 3,salt_3,train_nominal
TW8,TW,564.1169241190181,461.66999999999996,102.44692411901815,102.44692411901815,True,,left_upper_vertical,0.49999999999999994,tswfc2_smoke_salt2_four_node_v1,Salt 3,salt_3,train_nominal
TW9,TW,563.4940303064575,462.49,101.00403030645748,101.00403030645748,True,,cooled_incline_pre_hx,0.7499999999999999,tswfc2_smoke_salt2_four_node_v1,Salt 3,salt_3,train_nominal
TP1,TP,584.4702827658541,481.34,103.13028276585413,103.13028276585413,True,,top_horizontal_exit,0.9999999999999929,tswfc2_smoke_salt2_four_node_v1,Salt 4,salt_4,train_nominal
TP2,TP,nan,475.74,nan,nan,False,policy_excluded_tp2_tw10_or_validation,,nan,tswfc2_smoke_salt2_four_node_v1,Salt 4,salt_4,train_nominal
TP3,TP,589.0774606533655,475.95,113.12746065336552,113.12746065336552,True,,left_lower_vertical,0.0,tswfc2_smoke_salt2_four_node_v1,Salt 4,salt_4,train_nominal
TP4,TP,588.2262808537979,478.89,109.33628085379792,109.33628085379792,True,,left_lower_vertical,1.0,tswfc2_smoke_salt2_four_node_v1,Salt 4,salt_4,train_nominal
TP5,TP,588.4608052883157,479.31999999999994,109.14080528831573,109.14080528831573,True,,test_section,1.0,tswfc2_smoke_salt2_four_node_v1,Salt 4,salt_4,train_nominal
TP6,TP,587.6125512013982,481.36,106.2525512013982,106.2525512013982,True,,left_upper_vertical,1.0,tswfc2_smoke_salt2_four_node_v1,Salt 4,salt_4,train_nominal
TW1,TW,581.8161497955034,469.77,112.04614979550342,112.04614979550342,True,,right_vertical,0.25000000000000067,tswfc2_smoke_salt2_four_node_v1,Salt 4,salt_4,train_nominal
TW10,TW,579.6434520865637,409.92999999999995,169.71345208656373,169.71345208656373,False,policy_excluded_tp2_tw10_or_validation,cooled_incline_hx_active,0.5000000000000028,tswfc2_smoke_salt2_four_node_v1,Salt 4,salt_4,train_nominal
TW11,TW,583.0307114682979,476.14,106.89071146829792,106.89071146829792,True,,cooled_incline_post_hx,0.2499999999999991,tswfc2_smoke_salt2_four_node_v1,Salt 4,salt_4,train_nominal
TW2,TW,581.073480431682,471.15,109.92348043168204,109.92348043168204,True,,right_vertical,0.4999999999999999,tswfc2_smoke_salt2_four_node_v1,Salt 4,salt_4,train_nominal
TW3,TW,580.8178084595197,470.41999999999996,110.39780845951975,110.39780845951975,True,,right_vertical,0.7499999999999999,tswfc2_smoke_salt2_four_node_v1,Salt 4,salt_4,train_nominal
TW4,TW,581.9454944945497,474.86,107.08549449454972,107.08549449454972,True,,heated_incline,0.2500000000000007,tswfc2_smoke_salt2_four_node_v1,Salt 4,salt_4,train_nominal
TW5,TW,583.3580189260259,503.71999999999997,79.63801892602595,79.63801892602595,True,,heated_incline,0.4999999999999988,tswfc2_smoke_salt2_four_node_v1,Salt 4,salt_4,train_nominal
TW6,TW,585.2730791942151,496.76,88.51307919421515,88.51307919421515,True,,heated_incline,0.7499999999999999,tswfc2_smoke_salt2_four_node_v1,Salt 4,salt_4,train_nominal
TW7,TW,586.2637401344408,481.26,105.00374013444082,105.00374013444082,True,,left_lower_vertical,0.5,tswfc2_smoke_salt2_four_node_v1,Salt 4,salt_4,train_nominal
TW8,TW,585.6322414368234,477.37,108.26224143682339,108.26224143682339,True,,left_upper_vertical,0.49999999999999994,tswfc2_smoke_salt2_four_node_v1,Salt 4,salt_4,train_nominal
TW9,TW,585.0099088095424,477.88,107.12990880954237,107.12990880954237,True,,cooled_incline_pre_hx,0.7499999999999999,tswfc2_smoke_salt2_four_node_v1,Salt 4,salt_4,train_nominal
