source_id,case_label,family,time_s,span_name,landmark_name,landmark_role,hydraulic_diameter_geom_m,stored_bulk_temp_k,bulk_temp_k,centerline_temp_k,bulk_minus_centerline_temp_k,t_wall_k,bulk_temperature_method
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8599.0,left_upper_leg,left_upper_leg_midpoint_midpoint,midpoint,0.02270650960162625,459.43660797677114,459.43660797677114,455.7107444615385,3.725863515232618,456.42620304398474,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8599.0,left_upper_leg,left_upper_leg_start_TP5,start,0.02537548773121182,459.61042642315317,459.61042642315317,455.9108546923077,3.6995717308454914,455.50622252601227,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8599.0,lower_leg,lower_leg_anchor_TW1,anchor,0.022660671370737438,453.4453889902815,453.4453889902815,457.9767265,-4.531337509718469,472.9176196994625,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8599.0,lower_leg,lower_leg_anchor_TW2,anchor,0.022660671324776033,451.3665723962069,451.3665723962069,452.221675,-0.8551026037931138,468.5084340465705,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8599.0,lower_leg,lower_leg_anchor_TW3,anchor,0.0210537426332994,449.8029901256636,449.8029901256636,452.01367849999997,-2.210688374336371,446.55841072597843,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8599.0,lower_leg,lower_leg_end_TP2,end,0.02082686107793599,451.3036965758301,451.3036965758301,451.2338603076923,0.06983626813780575,444.39452370395855,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8599.0,lower_leg,lower_leg_midpoint_midpoint,midpoint,0.022660671324776033,451.3665723962069,451.3665723962069,452.221675,-0.8551026037931138,468.5084340465705,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8599.0,lower_leg,lower_leg_start_TP1,start,0.020826860943534864,458.926163778768,458.926163778768,456.64358450000003,2.282579278767969,454.73882334233775,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8599.0,right_leg,right_leg_anchor_TW4,anchor,0.022572942718664092,460.5967526392979,460.5967526392979,450.63193620000004,9.964816439297863,447.3640883534726,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,salt,8599.0,right_leg,right_leg_anchor_TW5,anchor,0.022572942718664224,460.1090999196749,460.1090999196749,459.44417599999997,0.6649239196749477,447.8057861751947,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
