source_id,case_label,time_s,span_name,bin_index,selection_status,stored_bulk_temp_flow_weighted_k,stored_bulk_temp_area_weighted_k,exact_bulk_temp_flow_weighted_k,exact_bulk_temp_cp_weighted_k,exact_bulk_temp_area_weighted_k,delta_exact_minus_stored_flow_k,delta_exact_flow_minus_stored_flow_k,delta_exact_cp_minus_exact_flow_k
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,test_section_span,26,aligned_area_match,315.6527282910607,315.37710532457317,315.65272643789103,315.6527328167572,315.37710532457317,4.5256964540385525e-06,-1.8531696923673735e-06,6.378866146405926e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,0,aligned_area_match,315.6527282910607,315.37710532457317,315.65272643789103,315.6527328167572,315.37710532457317,4.5256964540385525e-06,-1.8531696923673735e-06,6.378866146405926e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,1,aligned_area_match,315.6370156421984,315.3835601915255,315.6370140232454,315.6370196142647,315.3835601915255,3.972066338064906e-06,-1.618952978788002e-06,5.591019316852908e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,2,aligned_area_match,315.6323576050139,315.38717193847646,315.6323560436496,315.632361437816,315.38717193847646,3.832802065062424e-06,-1.5613642858625099e-06,5.394166350924934e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,3,aligned_area_match,315.63092082786625,315.3904675902028,315.63091928598675,315.63092461065116,315.3904675902028,3.7827849155291915e-06,-1.541879498745402e-06,5.324664414274594e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,4,aligned_area_match,315.629653998509,315.3929861407085,315.6296524697233,315.62965774696704,315.3929861407085,3.7484580275304324e-06,-1.5287857308976527e-06,5.277243758428085e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,5,aligned_area_match,315.6281225593727,315.39446977519884,315.62812103485106,315.62812629457034,315.39446977519884,3.735197651622002e-06,-1.5245216218318092e-06,5.259719273453811e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,6,aligned_area_match,315.6300886917369,315.39712662823234,315.63008716361213,315.63009242988704,315.39712662823234,3.7381501556410512e-06,-1.5281247556231392e-06,5.2662749112641905e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,7,aligned_area_match,315.6365481459292,315.4016179145735,315.63654657897837,315.6365519703937,315.4016179145735,3.824464499757596e-06,-1.56695085706815e-06,5.391415356825746e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,8,aligned_area_match,315.64302048414515,315.40537188661096,315.64301886107336,315.6430244362299,315.40537188661096,3.9520847394669545e-06,-1.6230717960752372e-06,5.575156535542192e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,9,aligned_area_match,315.6495174803654,315.40890059714684,315.6495158038854,315.64952155352586,315.40890059714684,4.07316048267603e-06,-1.67647999660403e-06,5.74964047928006e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,10,aligned_area_match,315.65448895119385,315.41133833438226,315.6544872320192,315.6544931202595,315.41133833438226,4.169065618953027e-06,-1.719174633763032e-06,5.888240252716059e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,11,aligned_area_match,315.65931744892333,315.41348663317814,315.65931569283265,315.6593217001236,315.41348663317814,4.251200266480737e-06,-1.756090682647482e-06,6.007290949128219e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,12,aligned_area_match,315.6641594444683,315.41540079994815,315.66415763971673,315.66416380609934,315.41540079994815,4.361631056326587e-06,-1.8047515482066956e-06,6.1663826045332826e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,13,aligned_area_match,315.6685359479212,315.41674158791875,315.6685340765095,315.66854046243304,315.41674158791875,4.514511829256662e-06,-1.8714117118179274e-06,6.38592354107459e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,14,aligned_area_match,315.6729308466914,315.41793958506736,315.6729288889447,315.6729355596515,315.41793958506736,4.712960105734965e-06,-1.9577466900955187e-06,6.670706795830483e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,15,aligned_area_match,315.6753283412344,315.41807505594716,315.6753262862236,315.675333278444,315.41807505594716,4.937209610034188e-06,-2.055010781987221e-06,6.992220392021409e-06
