source_id,case_label,case_order,feature_name,feature_class,adjacent_major_spans,time_s,start_patch,end_patch,dp_feature_p_pa,dp_feature_p_abs_pa,dp_feature_prgh_pa,dp_feature_prgh_abs_pa,dp_feature_hydro_path_pa,dp_feature_hydro_path_abs_pa,proxy_raw_delta_p_pa,proxy_raw_abs_delta_p_rgh_pa,path_vs_proxy_delta_p_residual_pa,path_vs_proxy_delta_p_rgh_residual_pa,local_boundary_reference_dp_pa,existing_span_reference_dp_pa,feature_excess_path_pa,feature_excess_existing_pa,reference_method_gap_fraction,dynamic_head_local_pa,keff_effective_path,support_fraction,re_effective,rho_effective_kg_m3,bulk_velocity_effective_m_s,hydraulic_diameter_geom_m,property_temperature_k,window_hydro_correction_abs_pa,window_vs_path_hydro_gap_fraction,pressure_method_status,reference_method_status,warning_flag,warning_note
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,4,corner_upper_left,bend,upper_leg|left_upper_leg,586.0,ncc_pipeleg_upper_09_straight_end,ncc_pipeleg_left_01_upper_start,331.4928800000016,331.4928800000016,8.12923288,8.12923288,323.3636471200016,323.3636471200016,331.4928800000016,8.12923288,0.0,0.0,3.243221336215399,3.664594949444181,4.886011543784601,4.464637930555819,0.12992440834164404,0.4119962284615543,11.859359883049372,1.0,85.74851412880999,1953.63433646073,0.020523159399164652,0.020510976720904323,453.46893896127744,566.3991634486707,0.751585771911082,defended_patch_endpoint_prgh_local_boundary_reference,adjacent_major_span_local_boundary_gradients,yes,profile correction not yet sampled; wall reference inferred from adjacent major-span mean gradients
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,4,corner_upper_right,bend,right_leg|upper_leg,583.0,ncc_pipeleg_right_03_upper_end,ncc_pipeleg_upper_01_straight_start,-334.6721899999993,334.6721899999993,4.426285351000001,4.426285351000001,-339.0984753509993,339.0984753509993,-334.6721899999993,4.426285351000001,0.0,0.0,3.2247391463017783,3.350971509617519,1.2015462046982224,1.0753138413824814,0.03914498431927673,0.3195730051407426,3.7598488776267303,1.0,74.83179866592407,1956.8414433052674,0.018061152852355693,0.021287648509535732,449.1910853604542,213.0397635971712,0.3717466191003817,defended_patch_endpoint_prgh_local_boundary_reference,adjacent_major_span_local_boundary_gradients,yes,proxy_row_warning; profile correction not yet sampled; wall reference inferred from adjacent major-span mean gradients. warning_sources=raw_feature_warning.
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,4,corner_upper_right,bend,right_leg|upper_leg,584.0,ncc_pipeleg_right_03_upper_end,ncc_pipeleg_upper_01_straight_start,-334.6721899999993,334.6721899999993,4.426286869999999,4.426286869999999,-339.09847686999933,339.09847686999933,-334.6721899999993,4.426286869999999,0.0,0.0,3.2247390322647727,3.3509719924073837,1.2015478377352267,1.0753148775926156,0.039145170781139514,0.31957297401562107,3.7598543538806686,1.0,74.83179506220148,1956.8414432675968,0.01806115197281396,0.021287648509535732,449.1910854107016,213.03977943496415,0.3717465752090726,defended_patch_endpoint_prgh_local_boundary_reference,adjacent_major_span_local_boundary_gradients,yes,proxy_row_warning; profile correction not yet sampled; wall reference inferred from adjacent major-span mean gradients. warning_sources=raw_feature_warning.
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,4,corner_upper_right,bend,right_leg|upper_leg,585.0,ncc_pipeleg_right_03_upper_end,ncc_pipeleg_upper_01_straight_start,-334.6722000000009,334.6722000000009,4.426285986,4.426285986,-339.09848598600087,339.09848598600087,-334.6722000000009,4.426285986,0.0,0.0,3.2247407448353727,3.350972311096324,1.2015452411646272,1.075313674903676,0.03914471774610691,0.31957316578203554,3.75984397258229,1.0,74.83181748374945,1956.841443296139,0.018061157391798224,0.021287648509535732,449.1910853726304,213.03977875896595,0.37174659409195665,defended_patch_endpoint_prgh_local_boundary_reference,adjacent_major_span_local_boundary_gradients,yes,proxy_row_warning; profile correction not yet sampled; wall reference inferred from adjacent major-span mean gradients. warning_sources=raw_feature_warning.
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,4,corner_upper_right,bend,right_leg|upper_leg,586.0,ncc_pipeleg_right_03_upper_end,ncc_pipeleg_upper_01_straight_start,-334.6722000000009,334.6722000000009,4.4262849520000005,4.4262849520000005,-339.0984849520009,339.0984849520009,-334.6722000000009,4.4262849520000005,0.0,0.0,3.224738976307624,3.3509716786430075,1.2015459756923765,1.075313273356993,0.039145091513708166,0.31957303148306243,3.759847851103979,1.0,74.83180170290485,1956.8414433492421,0.018061153596743748,0.021287648509535732,449.1910853017978,213.03977564893535,0.3717466013477148,defended_patch_endpoint_prgh_local_boundary_reference,adjacent_major_span_local_boundary_gradients,yes,proxy_row_warning; profile correction not yet sampled; wall reference inferred from adjacent major-span mean gradients. warning_sources=raw_feature_warning.
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,4,test_section_complex,quartz_transition,left_upper_leg|test_section_span|left_lower_leg,583.0,ncc_pipeleg_left_02_connector_end,ncc_pipeleg_left_06_connector_start,4780.248653,4780.248653,-4.47543505,4.47543505,4784.724088049999,4784.724088049999,4780.248653,4.47543505,0.0,0.0,3.9241684752681945,4.784896823694203,0.5512665747318053,-0.3094617736942036,0.2193403147318192,0.20032283052778993,2.751890901697949,1.0,69.41566595001736,1953.2150062878884,0.01430235559523909,0.023686226653951963,454.02826959065163,4850.477762855885,0.013742417242011397,defended_patch_endpoint_prgh_local_boundary_reference,adjacent_major_span_local_boundary_gradients,yes,"proxy_row_warning; profile correction not yet sampled; wall reference inferred from adjacent major-span mean gradients. warning_sources=raw_feature_warning,negative_minor_residual."
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,4,test_section_complex,quartz_transition,left_upper_leg|test_section_span|left_lower_leg,584.0,ncc_pipeleg_left_02_connector_end,ncc_pipeleg_left_06_connector_start,4780.248631,4780.248631,-4.475453855,4.475453855,4784.724084855,4784.724084855,4780.248631,4.475453855,0.0,0.0,3.9241684349846406,4.784896429936313,0.551285420015359,-0.30944257493631344,0.2193402269072177,0.2003228230015072,2.751985079659202,1.0,69.41566469003664,1953.2150062426838,0.01430235532656384,0.023686226653951963,454.0282696509485,4850.477762539362,0.013742417852784999,defended_patch_endpoint_prgh_local_boundary_reference,adjacent_major_span_local_boundary_gradients,yes,"proxy_row_warning; profile correction not yet sampled; wall reference inferred from adjacent major-span mean gradients. warning_sources=raw_feature_warning,negative_minor_residual."
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,4,test_section_complex,quartz_transition,left_upper_leg|test_section_span|left_lower_leg,585.0,ncc_pipeleg_left_02_connector_end,ncc_pipeleg_left_06_connector_start,4780.248657,4780.248657,-4.475426084999999,4.475426084999999,4784.7240830850005,4784.7240830850005,4780.248657,4.475426084999999,0.0,0.0,3.9241685714447354,4.784896479432688,0.5512575135552633,-0.3094703944326893,0.21934019711876548,0.20032290764492633,2.751844609466087,1.0,69.41567932354852,1953.2150062753021,0.014302358348186914,0.023686226653951963,454.02826960743994,4850.477756053491,0.013742416872258882,defended_patch_endpoint_prgh_local_boundary_reference,adjacent_major_span_local_boundary_gradients,yes,"proxy_row_warning; profile correction not yet sampled; wall reference inferred from adjacent major-span mean gradients. warning_sources=raw_feature_warning,negative_minor_residual."
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,4,test_section_complex,quartz_transition,left_upper_leg|test_section_span|left_lower_leg,586.0,ncc_pipeleg_left_02_connector_end,ncc_pipeleg_left_06_connector_start,4780.248653000001,4780.248653000001,-4.475429775,4.475429775,4784.724082775,4784.724082775,4780.248653000001,4.475429775,0.0,0.0,3.9241684146428955,4.78489673637068,0.5512613603571048,-0.3094669613706795,0.21934031131691675,0.20032286434152533,2.751864407336316,1.0,69.41567174315534,1953.215006355062,0.014302356802330777,0.023686226653951963,454.02826950105066,4850.477761029211,0.013742417977856702,defended_patch_endpoint_prgh_local_boundary_reference,adjacent_major_span_local_boundary_gradients,yes,"proxy_row_warning; profile correction not yet sampled; wall reference inferred from adjacent major-span mean gradients. warning_sources=raw_feature_warning,negative_minor_residual."
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,5,corner_lower_left,bend,left_lower_leg|lower_leg,2511.0,ncc_pipeleg_left_07_lower_end,ncc_pipeleg_lower_01_fitting_start,337.69622215100003,337.69622215100003,0.6421532809999997,0.6421532809999997,337.05406887000004,337.05406887000004,337.69622215100003,0.6421532809999997,0.0,0.0,3.57827638498379,3.3803228323347425,-2.9361231039837903,-2.738169551334743,0.05532092307898799,0.5447721230972957,-5.389635371374173,1.0,132.91822890251208,1943.594117154058,0.02364498440127822,0.021018995802395968,466.86125496324115,369.0546699904847,0.09494204068732695,defended_patch_endpoint_prgh_local_boundary_reference,adjacent_major_span_local_boundary_gradients,yes,proxy_row_warning; profile correction not yet sampled; wall reference inferred from adjacent major-span mean gradients. warning_sources=negative_minor_residual.
