source_id,span_name,streamwise_bin_index,time_sample_count,loop_s_mid_m,loop_s_fraction,streamwise_bin_length_m,mean_wall_heat_w,mean_wall_heat_abs_w,mean_wall_heat_per_length_w_m,mean_wall_heat_abs_per_length_w_m,mean_cumulative_wall_heat_w,mean_cumulative_wall_heat_abs_w,case_label
viscosity_screening_salt_test_2_kirst_coarse_mesh,test_section_span,19,4,3.2970727842090923,0.8939455400535478,0.00966453846153845,-0.24068906092208792,0.24068906092208792,-24.904351292092,24.904351292092,25.4455441356627,405.69895998490256,Salt 2 Kirst
viscosity_screening_salt_test_2_kirst_coarse_mesh,test_section_span,20,4,3.3067373226706303,0.8965659162538385,0.009664538461538474,-0.26963127042131424,0.26963127042131424,-27.899032270848068,27.899032270848068,25.175912865241386,405.9685912553239,Salt 2 Kirst
viscosity_screening_salt_test_2_kirst_coarse_mesh,test_section_span,21,4,3.31640186113217,0.8991862924541295,0.009664538461538474,-0.27681920216606626,0.27681920216606626,-28.642775158659784,28.642775158659784,24.89909366307532,406.2454104574899,Salt 2 Kirst
viscosity_screening_salt_test_2_kirst_coarse_mesh,test_section_span,22,4,3.3260663995937083,0.9018066686544205,0.009664538461538474,-0.3501360371757382,0.3501360371757382,-36.228945496896586,36.228945496896586,24.54895762589958,406.5955464946656,Salt 2 Kirst
viscosity_screening_salt_test_2_kirst_coarse_mesh,test_section_span,23,4,3.3357309380552467,0.9044270448547113,0.00966453846153845,-0.3110956028382419,0.3110956028382419,-32.189390530783825,32.189390530783825,24.237862023061336,406.90664209750383,Salt 2 Kirst
viscosity_screening_salt_test_2_kirst_coarse_mesh,test_section_span,24,4,3.3453954765167846,0.907047421055002,0.009664538461538474,-0.3495404334377635,0.3495404334377635,-36.16731774919348,36.16731774919348,23.888321589623573,407.2561825309416,Salt 2 Kirst
viscosity_screening_salt_test_2_kirst_coarse_mesh,left_lower_leg,1,4,3.3745276140459217,0.9149461075932935,0.009803060606060605,-0.0580792266163131,0.0580792266163131,-5.924601402587109,5.924601402587109,23.830242363007258,407.314261757558,Salt 2 Kirst
viscosity_screening_salt_test_2_kirst_coarse_mesh,left_lower_leg,2,4,3.3843306746519826,0.9176040417310032,0.009803060606060605,-0.26310943878802173,0.26310943878802173,-26.839519754203906,26.839519754203906,23.567132924219237,407.577371196346,Salt 2 Kirst
viscosity_screening_salt_test_2_kirst_coarse_mesh,left_lower_leg,3,4,3.394133735258043,0.9202619758687126,0.009803060606060609,-0.26483859495626927,0.26483859495626927,-27.015909173563244,27.015909173563244,23.30229432926297,407.8422097913022,Salt 2 Kirst
viscosity_screening_salt_test_2_kirst_coarse_mesh,left_lower_leg,4,4,3.4039367958641034,0.9229199100064223,0.009803060606060609,-0.26608779100183355,0.26608779100183355,-27.143338360810336,27.143338360810336,23.036206538261133,408.10829758230403,Salt 2 Kirst
